;;#Dev Description;Stat Group;Slot;Affix Group;Special;MinRarity;;;;;;;;;;;;#;#;#;#;#;;#;#;#;#;#;#;#;weap1;head1;tors1;hand1;wais1;feet1;ring1;jewl1;amul1;reli1;weap2;head2;tors2;hand2;wais2;feet2;ring2;jewl2;amul2;reli2;weap3;head3;tors3;hand3;wais3;feet3;ring3;jewl3;amul3;reli3;weap4;head4;tors4;hand4;wais4;feet4;ring4;jewl4;amul4;reli4;weap5;head5;tors5;hand5;wais5;feet5;ring5;jewl5;amul5;reli5;#weap;#head;#tors;#hand;#wais;#feet;#ring;#jewl;#amul;#reli;#;#;#;#;#;#;#;#;#;;;;#;;Ability1;;;;;;;;;;;;;;;;;;#;#;#;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability4;;;;;;;;;;;;;;;;;;Ability5;;;;;;;;;;;;;;;;;;Ability6;;;;;;;;;;;;;;;;;;Ability7;;;;;;;;;;;;;;;;Ability8;;;;;;;;;;;;;;;
;ssum5;Red Parrot Summon (Ruptured);P.Skill.Summon;summon;@sp;TRUE;rare;4.2;9;11;14;16;18;1;1;1;1;1;1.77778;1.45455;1.14286;1;0.88889;TRUE;;1;9;22;42;64;90;9;9;9;0;9;0;9;9;9;9;22;22;22;0;22;0;22;22;22;22;42;42;42;0;42;0;42;42;42;42;64;64;64;0;64;0;64;64;64;64;90;90;90;0;90;0;90;90;90;90;1;1;1;0;1;0;1;1;1;1;128;256;384;512;640;;;;;;;TRUE;FALSE;6;summon;trigger;on_gain;monster;ParrotRed;overrides;hp,hpr,mvm;revive;TRUE;use_dur;FALSE;;;;;;;0;;;0;1;16;lsurev;col2;6;0;1;;cha;1;0;0;;;;;;;cnt;999;0;0;lsumaxcnt;mcnt;1;0;0.34;;;;;;lparrotmvm;mvm;4.4;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;point_cast_mod;re_mon_code;ParrotRed;overrides;pow,minpow,maxpow,are,tim,tim2;;;;;;;;;;;;;0;;cha;1;0;0;;;;;;;;;;;lparrotdmg;pow;1;1;2.5;;minpow;12.8;0;2.5;;maxpow;19.2;0;2.5;lparrotat2;tim;0.36;0;2.5;;tim2;0;0;2.5;lparrotare;are;0.78;0;2.5;;int;0.5;0;1;lincrval+%;st2;1.5;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;ssum6;Blue Parrot Summon (Chilled);P.Skill.Summon;summon;@sp;TRUE;rare;4.2;6;8;9;11;12;1;1;1;1;1;2.66667;2;1.77778;1.45455;1.33333;TRUE;;1;6;16;27;44;60;6;6;6;0;6;0;6;6;6;6;16;16;16;0;16;0;16;16;16;16;27;27;27;0;27;0;27;27;27;27;44;44;44;0;44;0;44;44;44;44;60;60;60;0;60;0;60;60;60;60;1;1;1;0;1;0;1;1;1;1;128;256;384;512;640;;;;;;;TRUE;FALSE;6;summon;trigger;on_gain;monster;ParrotBlue;overrides;hp,hpr,mvm;revive;TRUE;use_dur;FALSE;;;;;;;0;;;0;1;16;lsurev;col2;6;0;1;;cha;1;0;0;;;;;;;cnt;999;0;0;lsumaxcnt;mcnt;1;0;0.34;;;;;;lparrotmvm;mvm;4.4;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;point_cast_mod;re_mon_code;ParrotBlue;overrides;pow,minpow,maxpow,are,tim,tim2;;;;;;;;;;;;;0;;cha;1;0;0;;;;;;;;;;;lparrotdmg;pow;1;1;2.5;;minpow;12.8;0;2.5;;maxpow;19.2;0;2.5;lparrotat2;tim;0.36;0;2.5;;tim2;0;0;2.5;lparrotare;are;0.78;0;2.5;;int;0.5;0;1;lincrval+%;st2;1.5;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;ssum7;Yellow Parrot Summon (Burning);P.Skill.Summon;summon;@sp;TRUE;rare;4.2;9;11;14;16;18;1;1;1;1;1;1.77778;1.45455;1.14286;1;0.88889;TRUE;;1;9;22;42;64;90;9;9;9;0;9;0;9;9;9;9;22;22;22;0;22;0;22;22;22;22;42;42;42;0;42;0;42;42;42;42;64;64;64;0;64;0;64;64;64;64;90;90;90;0;90;0;90;90;90;90;1;1;1;0;1;0;1;1;1;1;128;256;384;512;640;;;;;;;TRUE;FALSE;6;summon;trigger;on_gain;monster;ParrotYellow;overrides;hp,hpr,mvm;revive;TRUE;use_dur;FALSE;;;;;;;0;;;0;1;16;lsurev;col2;6;0;1;;cha;1;0;0;;;;;;;cnt;999;0;0;lsumaxcnt;mcnt;1;0;0.34;;;;;;lparrotmvm;mvm;4.4;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;point_cast_mod;re_mon_code;ParrotYellow;overrides;pow,minpow,maxpow,are,tim,tim2;;;;;;;;;;;;;0;;cha;1;0;0;;;;;;;;;;;lparrotdmg;pow;1;1;2.5;;minpow;12.8;0;2.5;;maxpow;19.2;0;2.5;lparrotat2;tim;0.36;0;2.5;;tim2;0;0;2.5;lparrotare;are;0.78;0;2.5;;int;0.5;0;1;lincrval+%;st2;1.5;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;ssum8;Pink Parrot Summon (Weakened);P.Skill.Summon;summon;@sp;TRUE;rare;4.2;15;19;23;26;30;1;1;1;1;1;1.06667;0.84211;0.69565;0.61538;0.53333;TRUE;;1;15;38;69;104;150;15;15;15;0;15;0;15;15;15;15;38;38;38;0;38;0;38;38;38;38;69;69;69;0;69;0;69;69;69;69;104;104;104;0;104;0;104;104;104;104;150;150;150;0;150;0;150;150;150;150;1;1;1;0;1;0;1;1;1;1;128;256;384;512;640;;;;;;;TRUE;FALSE;6;summon;trigger;on_gain;monster;ParrotPink;overrides;hp,hpr,mvm;revive;TRUE;use_dur;FALSE;;;;;;;0;;;0;1;16;lsurev;col2;6;0;1;;cha;1;0;0;;;;;;;cnt;999;0;0;lsumaxcnt;mcnt;1;0;0.34;;;;;;lparrotmvm;mvm;4.4;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;point_cast_mod;re_mon_code;ParrotPink;overrides;pow,minpow,maxpow,are,tim,tim2;;;;;;;;;;;;;0;;cha;1;0;0;;;;;;;;;;;lparrotdmg;pow;1;1;2.5;;minpow;12.8;0;2.5;;maxpow;19.2;0;2.5;lparrotat2;tim;0.36;0;2.5;;tim2;0;0;2.5;lparrotare;are;0.78;0;2.5;;int;0.5;0;1;lincrval+%;st2;1.5;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;ssum9;Black Parrot Summon (Fear);P.Skill.Summon;summon;@sp;TRUE;epic;7;12;15;18;21;24;1;1;1;1;1;1.33333;1.06667;0.88889;0.7619;0.66667;TRUE;;1;12;30;54;84;120;12;12;12;0;12;0;12;12;12;12;30;30;30;0;30;0;30;30;30;30;54;54;54;0;54;0;54;54;54;54;84;84;84;0;84;0;84;84;84;84;120;120;120;0;120;0;120;120;120;120;1;1;1;0;1;0;1;1;1;1;128;256;384;512;640;;;;;;;TRUE;FALSE;6;summon;trigger;on_gain;monster;ParrotBlack;overrides;hp,hpr,mvm;revive;TRUE;use_dur;FALSE;;;;;;;0;;;0;1;16;lsurev;col2;6;0;1;;cha;1;0;0;;;;;;;cnt;999;0;0;lsumaxcnt;mcnt;1;0;0.34;;;;;;lparrotmvm;mvm;4.4;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;point_cast_mod;re_mon_code;ParrotBlack;overrides;pow,minpow,maxpow,are,tim,tim2;;;;;;;;;;;;;0;;cha;1;0;0;;;;;;;;;;;lparrotdmg;pow;1;1;2.5;;minpow;12.8;0;2.5;;maxpow;19.2;0;2.5;lparrotat2;tim;0.36;0;2.5;;tim2;0;0;2.5;lparrotare;are;0.78;0;2.5;;int;0.5;0;1;lincrval+%;st2;1.5;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;ssum10;White Parrot Summon (Smited);P.Skill.Summon;summon;@sp;TRUE;epic;7;15;19;23;26;30;1;1;1;1;1;1.06667;0.84211;0.69565;0.61538;0.53333;TRUE;;1;15;38;69;104;150;15;15;15;0;15;0;15;15;15;15;38;38;38;0;38;0;38;38;38;38;69;69;69;0;69;0;69;69;69;69;104;104;104;0;104;0;104;104;104;104;150;150;150;0;150;0;150;150;150;150;1;1;1;0;1;0;1;1;1;1;128;256;384;512;640;;;;;;;TRUE;FALSE;6;summon;trigger;on_gain;monster;ParrotWhite;overrides;hp,hpr,mvm;revive;TRUE;use_dur;FALSE;;;;;;;0;;;0;1;16;lsurev;col2;6;0;1;;cha;1;0;0;;;;;;;cnt;999;0;0;lsumaxcnt;mcnt;1;0;0.34;;;;;;lparrotmvm;mvm;4.4;0;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;point_cast_mod;re_mon_code;ParrotWhite;overrides;pow,minpow,maxpow,are,tim,tim2;;;;;;;;;;;;;0;;cha;1;0;0;;;;;;;;;;;lparrotdmg;pow;1;1;2.5;;minpow;12.8;0;2.5;;maxpow;19.2;0;2.5;lparrotat2;tim;0.36;0;2.5;;tim2;0;0;2.5;lparrotare;are;0.78;0;2.5;;int;0.5;0;1;lincrval+%;st2;1.5;0;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sp1;% To Heal % on nth BossKill (make sct max life gain);P.Skill.Passive;none;@sp;TRUE;epic;2.4;4;5;6;7;8;1;1;1;1;1;7.5;6;5;4.28571;3.75;TRUE;;2;8;20;36;56;80;8;8;0;0;0;0;0;0;8;8;20;20;0;0;0;0;0;0;20;20;36;36;0;0;0;0;0;0;36;36;56;56;0;0;0;0;0;0;56;56;80;80;0;0;0;0;0;0;80;80;1;1;0;0;0;0;0;0;1;1;24000%;48000%;72000%;96000%;120000%;;;;;;;TRUE;FALSE;0;heal_self_flat;trigger;death;re_mon_type;Midboss,Boss;re_enemy;;;;;;;;;;;;0;;;0;1;30;;;;;;;cha;1;0;1;;nth;1;0;0;lheal;val;30;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sp2;Burning Malady;P.Skill.Passive;none;@sp;TRUE;myth;9.6;6;8;9;11;12;1;1;1;1;1;0.53333;0.4;0.35556;0.29091;0.26667;TRUE;;1;6;16;27;44;60;6;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3.2;6.4;9.6;12.8;16;;;;;;;TRUE;FALSE;0;malady;limit_statuses;burning;;;;;;;;;;;;;;;0;;;0;1;3.2;;;;;;lare;are;3.2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sp3;Refresh Enemy Statuses on nth Hit;P.Skill.Passive;none;@sp;TRUE;rare;2.2;5;6;8;9;10;1;1;1;1;1;0;0;0;0;0;TRUE;1;;5;6;8;9;10;5;0;0;0;5;0;5;0;0;0;6;0;0;0;6;0;6;0;0;0;8;0;0;0;8;0;8;0;0;0;9;0;0;0;9;0;9;0;0;0;10;0;0;0;10;0;10;0;0;0;1;0;0;0;1;0;1;0;0;0;';';';';';;;;;;;TRUE;FALSE;0;hit_refresh_status;;;;;;;;;;;;;;;;;0;;;0;';0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sp4;Damage % vs Statused Enemies;P.Skill.Passive;none;@d;TRUE;rare;1.8;1;1;1;1;1;1;1;1;1;1;0.006;0.006;0.006;0.006;0.006;FALSE;;75;75;150;225;300;375;75;15;15;15;11;15;11;11;75;37;150;30;30;30;22;30;22;22;150;75;225;45;45;45;33;45;33;33;225;112;300;60;60;60;45;60;45;45;300;150;375;75;75;75;56;75;56;56;375;187;1;0.2;0.2;0.2;0.15;0.2;0.15;0.15;1;0.5;168%;337%;505%;675%;843%;;;;;;;TRUE;FALSE;0;dmg_vs;re_any_status;;group;;pass;mult;;;;;;;;;;;0;;;0;1;0.006;;;;;;ldmg+%;per;0.006;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sp5;Damage % vs Immobilized Enemies;P.Skill.Passive;none;@d;TRUE;rare;1.4;1;1;1;1;1;1;1;1;1;1;0.015;0.015;0.015;0.015;0.015;FALSE;;75;75;150;225;300;375;75;15;15;15;11;15;11;11;75;37;150;30;30;30;22;30;22;22;150;75;225;45;45;45;33;45;33;33;225;112;300;60;60;60;45;60;45;45;300;150;375;75;75;75;56;75;56;56;375;187;1;0.2;0.2;0.2;0.15;0.2;0.15;0.15;1;0.5;420%;842%;1262%;1688%;2108%;;;;;;;TRUE;FALSE;0;dmg_vs;re_disabled;;group;;pass;mult;;;;;;;;;;;0;;;0;1;0.015;;;;;;ldmg+%;per;0.015;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sp6;Global DPS to Enemies;P.Skill.Power;power;@sp;TRUE;rare;2.2;3;3;3;3;3;1;1;1;1;1;0.33333;0.33333;0.33333;0.33333;0.33333;TRUE;;40;120;240;360;480;600;120;120;0;120;0;0;120;120;120;120;240;240;0;240;0;0;240;240;240;240;360;360;0;360;0;0;360;360;360;360;480;480;0;480;0;0;480;480;480;480;600;600;0;600;0;0;600;600;600;600;1;1;0;1;0;0;1;1;1;1;280;560;840;1120;1400;;;;;;;TRUE;FALSE;0;global_dps;re_enemy;;;;;;;;;;;;;;;;0;;;0;1;1;;;;;;ldmg;val;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sp8;Enemy Attack Speeds % Reduced;P.Skill.Passive;none;@sp;TRUE;rare;2.4;19;24;29;33;38;1;1;1;1;1;-0.00526;-0.00417;-0.00345;-0.00303;-0.00263;TRUE;;1;19;48;87;132;190;0;0;19;0;0;0;0;0;0;0;0;0;48;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;132;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-10%;-20%;-30%;-40%;-50%;;;;;;;TRUE;FALSE;0;enstatm_mult;stat;spd;use_res;FALSE;;;;;;;;;;;;;0;;;0;1;-0.1;;;;;;lenemspd+%;per;-0.1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sp9;Enemy Projectile Velocity % Reduced;P.Skill.Passive;none;@sp;TRUE;rare;2;11;14;17;19;22;1;1;1;1;1;-0.00909;-0.00714;-0.00588;-0.00526;-0.00455;TRUE;;1;11;28;51;76;110;0;0;0;0;0;0;0;0;11;11;0;0;0;0;0;0;0;0;28;28;0;0;0;0;0;0;0;0;51;51;0;0;0;0;0;0;0;0;76;76;0;0;0;0;0;0;0;0;110;110;0;0;0;0;0;0;0;0;1;1;-20%;-40%;-60%;-80%;-100%;;;;;;;TRUE;FALSE;0;enstatm_mult;stat;vlc;use_res;FALSE;;;;;;;;;;;;;0;;;0;1;-0.1;;;;;;lenemvlc+%;per;-0.1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sp10;Enemy Movement Speed % Reduced;P.Skill.Passive;none;@sp;TRUE;rare;2.4;13;16;20;23;26;1;1;1;1;1;-0.00769;-0.00625;-0.005;-0.00435;-0.00385;TRUE;;1;13;32;60;92;130;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0;0;0;0;130;0;0;0;0;0;0;0;0;0;1;0;0;0;0;-10%;-20%;-30%;-40%;-50%;;;;;;;TRUE;FALSE;0;enstatm_mult;stat;mvm;use_res;FALSE;;;;;;;;;;;;;0;;;0;1;-0.1;;;;;;lenemmvm+%;per;-0.1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sp11;Enemy Actions Speed % Reduced;P.Skill.Passive;none;@sp;TRUE;rare;2.4;6;8;9;11;12;1;1;1;1;1;-0.03333;-0.025;-0.02222;-0.01818;-0.01667;TRUE;;1;6;16;27;44;60;0;0;0;6;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-20%;-40%;-60%;-80%;-100%;;;;;;;TRUE;FALSE;0;enstatm_mult;stat;aicd;use_res;FALSE;;;;;;;;;;;;;0;;;0;1;-0.2;;;;;;lenemacs+%;per;-0.2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sp12;Enemy Areas % Reduced;P.Skill.Passive;none;@sp;TRUE;rare;2.4;10;13;15;18;20;1;1;1;1;1;-0.01;-0.00769;-0.00667;-0.00556;-0.005;TRUE;;1;10;26;45;72;100;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;1;0;0;-10%;-20%;-30%;-40%;-50%;;;;;;;TRUE;FALSE;0;enstatm_mult;stat;are;use_res;FALSE;;;;;;;;;;;;;0;;;0;1;-0.1;;;;;;lenemare+%;per;-0.1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;sp13;Enemy Aim % Reduced;P.Skill.Passive;none;@sp;TRUE;rare;2.4;4;5;6;7;8;1;1;1;1;1;-0.05;-0.04;-0.03333;-0.02857;-0.025;TRUE;;1;4;10;18;28;40;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;1;0;0;0;-20%;-40%;-60%;-80%;-100%;;;;;;;TRUE;FALSE;0;enstatm_mult;stat;aim;use_res;FALSE;;;;;;;;;;;;;0;;;0;1;-0.2;;;;;;lenemaim+%;per;-0.2;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
