n/a;code;type;invvariant;envvariant;#avg;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;#;#;#;;;#;;;;;;#;;;;;;;;;;;;;;;;;;;;#;#;;;;;;;;;#;#;;#;#;#;#;;;;#;;;;;;;;;#;#;#;;#;#;#;#;#;;#;#;;;;;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;;;;;;;;#;#;#;#sum;;;;;;;;;;;;#;;;#;;;;;;;;;#;#;#;;;;;#;#;#;;#;;;;;#;;#;;;;#;#;#;#;#;#;;;#;#;#;#;;#;#;;#;;;;;;;;;;;#;;;;;;;;;;;;;;;;
;Tr_AnyStrike;head;default;default;;0.5;0.25;2;0.8;;;;;0.25;;;;0.5;;;;;;;;0.05;;;;0.2;;;0.2;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;0.03;0.5;0.5;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;0.2;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;;;;;;;;;;;;;;;0.04;;0.04;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;
;Tr_AnyStrike;tors;default;default;;0.5;0.25;2;0.8;0.3;0.15;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;0.03;0.1;0.1;;0.5;0.65;0.65;0.65;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;;;;;;;;;0.04;;0.04;;;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyStrike;hand;default;default;;0.5;0.25;2;0.8;;;0.08;;;;;;0.5;;;;;;;;0.05;;;;0.5;;;1.5;;;;;;;0.04;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;0.12;0.3;0.3;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;1;;;;;;;;;;;;;;;0.2;0.2;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;0.24
;Tr_AnyStrike;wais;default;default;;0.5;0.25;2;0.8;0.4;0.3;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;0.8;;;;;;0.5;0.5;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;1;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;;;;;;;;;0.2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;;;;;;;;;;;;;;;0.24;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyStrike;feet;default;default;;0.5;0.25;2;0.8;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;0.35;0.15;0.7;0.7;0.05;;;;0.6;;;;;0.03;0.2;0.2;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;;;;;;;;;;;;;;;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;
;Tr_AnyStrike;ring;default;default;;0.05;0.05;0.25;0.4;;;0.05;;0.2;;;;1;;;;;;;;0.02;;;;0.25;;;0.6;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;1;;;;;0.1;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;0.2;0.2;;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;;;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;
;Tr_AnyStrike;jewl;default;default;;0.05;0.05;0.25;0.4;;;0.05;;0.2;;;;1;;;;;;;;0.05;;;;0.25;;;0.6;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;1;;;;;0.03;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;;;;;;;;;;;;;;;0.24;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;0.02;;;;;
;Tr_AnyStrike;amul;default;default;;0.1;0.05;0.5;0.8;;0.16;0.05;;0.2;;;;1;;;;;;;;0.05;;;;0.25;;;0.6;;;;;;0.03;;;;0.5;;;;;;;;;;;;;;;;;;0.15;;;;;;;;;;;;;;;;;;;;;;0.03;0.2;0.2;;;0.2;0.2;0.2;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;0.15;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;
;Tr_AnyStrike;reli;default;default;;0.05;0.1;0.5;0.1;0.3;0.3;;;0.5;;;;1;;;;;;;;0.05;;;;0.5;;;1;;;;;;0.05;;;;0.5;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;0.2;;;;;;;;1.5;;;;;0.09;0.5;0.5;;;3.6;3.6;3.6;0.1;0.2;0.4;0.4;;;;0.2;;;;;;;;;1;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;;;;;;;;;0.4;0.4;;;;;;;;;;;;;;;0.3;0.3;;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;;;;0.12;0.04;;;;;;;;;;;;;;;;0.24;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;0.02;0.02;0.02;0.02;0.02;0.02;;;;0.24
;Tr_AnyCast;weap;default;default;;;;;;;;;;0.5;;;;;3;;;;;;;0.05;;;;;1;;;2.5;;;;;0.04;0.04;;;;0.8;;;;;;;;;;;;0.5;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;0.04;0.2;0.2;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;0.24;0.24;0.24;0.24;0.24;0.24;;;;;;;;;;;;0.04;;;;;;;;;;0.02;0.02;;;;
;Tr_AnyCast;head;default;default;;0.5;0.25;2;0.8;;;;;0.25;;;;;0.5;;;;;;;0.05;;;;;0.2;;;0.2;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;0.03;0.5;0.5;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;0.04;;;;;;;;;;;;;;;0.24;0.24;0.24;0.24;0.24;0.24;;;;;;;;;;;;;;;;;;0.02;;;;;;;;;
;Tr_AnyCast;tors;default;default;;0.5;0.25;2;0.8;0.3;0.15;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;0.03;0.1;0.1;;0.5;0.65;0.65;0.65;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;0.04;;;;0.04;;;;;;;;;;;0.24;;0.24;0.24;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyCast;hand;default;default;;0.5;0.25;2;0.8;;;;;;;;;;0.5;;;;;;;0.05;;;;;0.5;;;1.5;;;;;;0.03;;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;0.1;0.3;0.3;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;
;Tr_AnyCast;wais;default;default;;0.5;0.25;2;0.8;0.4;0.3;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;0.5;0.5;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;1;;;0.05;0.05;0.05;0.05;0.05;0.05;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;;;;;;;;;0.2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyCast;feet;default;default;;0.5;0.25;2;0.8;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;0.35;0.15;0.7;0.7;0.05;;;;0.2;;;;;;0.2;0.2;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;
;Tr_AnyCast;ring;default;default;;0.05;0.05;0.25;0.4;;;;;0.2;;;;;1;;;;;;;0.02;;;;;0.25;;;0.6;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;0.2;;;;;0.1;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;;0.24;0.24;;0.24;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;
;Tr_AnyCast;jewl;default;default;;0.05;0.05;0.25;0.4;;;;;0.2;;;;;1;;;;;;;0.05;;;;;0.25;;;0.6;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;0.2;;;;;0.03;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;
;Tr_AnyCast;amul;default;default;;0.1;0.05;0.5;0.8;;0.16;;;0.2;;;;;1;;;;;;;0.05;;;;;0.25;;;0.6;;;;;0.02;;;;;0.5;;;;;;;;;;;;;;;;;;0.15;;;;;;;;;;;;;;;;;;;;;0.03;0.2;0.2;;;0.2;0.2;0.2;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;;0.24;0.24;;0.24;;;;;;;;;;;;;;;;;;;0.02;;;;;;;;
;Tr_AnyCast;reli;default;default;;0.05;0.1;0.5;0.1;0.3;0.3;;;0.5;;;;;1;;;;;;;0.05;;;;;0.5;;;1;;;;;0.04;;;;;0.5;;;;;;;;;;;;;;;;;;0.3;;;;;;;;0.2;;;;;;;;0.5;;;;;0.09;0.5;0.5;;;2.7;2.7;2.7;0.1;0.2;0.4;0.4;;;;0.2;;;;;;;;;;1;;;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;;;;;;;;;0.4;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;0.04;;;;0.24;0.24;0.24;0.24;0.24;0.24;;;;;;;;;;;;0.04;;;;;;0.02;0.02;0.02;0.02;0.02;0.02;;;;
;Tr_AnyPower;weap;default;default;;;;;;;;;;0.5;;;;;;3;;;;;;0.05;;;;;;1;;1.65;;;;;0.04;0.04;;;;;0.8;;;;;;;;;;;;0.5;;;;;;0.5;;;;;;;;;;;;;;;;;;;;0.04;0.2;0.2;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;;;;;;;;;;;;;;;;;;0.04;0.04;0.24;0.24;0.24;0.24;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;0.24;;;;;0.02;0.02;;;;
;Tr_AnyPower;head;default;default;;0.5;0.25;2;0.8;;;;;0.25;;;;;;0.5;;;;;;0.05;;;;;;0.2;;0.13;;;;;;;;;;;0.4;;;;;;;;;;;;0.3;;;;;;0.3;;;;;;;;;;;;;;;;;;;;0.03;0.5;0.5;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;0.04;;0.24;;;;;;;;;;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;0.02;;;;;;;;;
;Tr_AnyPower;tors;default;default;;0.5;0.25;2;0.8;0.3;0.15;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;0.3;;;;;;0.3;;;;;;;;;;;;;;;;;;;;0.03;0.1;0.1;;0.5;0.65;0.65;0.65;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.24;0.24;0.24;0.04;0.24;0.04;0.24;;;0.04;0.04;0.24;0.24;0.24;0.24;0.24;0.04;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;;
;Tr_AnyPower;hand;default;default;;0.5;0.25;2;0.8;;;;;;;;;;;0.5;;;;;;0.05;;;;;;0.5;;0.8;;;;;;0.03;;;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;0.1;0.3;0.3;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;
;Tr_AnyPower;wais;default;default;;0.5;0.25;2;0.8;0.4;0.3;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;0.2;;;;;0.03;0.5;0.5;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;1;;0.05;0.05;0.05;0.05;0.05;0.05;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;;;;;;;;;0.2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.24;0.24;0.24;0.04;0.24;0.04;0.24;;;0.04;0.04;0.24;0.24;0.24;0.24;0.24;0.04;0.24;0.24;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyPower;feet;default;default;;0.5;0.25;2;0.8;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;0.35;0.15;0.7;0.7;0.05;;;;0.2;;;;;0.03;0.2;0.2;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;;;;0.12;0.24;0.24;0.24;0.04;0.24;;;;;0.04;0.04;0.24;0.24;0.24;0.24;;;0.24;0.24;0.24;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;
;Tr_AnyPower;ring;default;default;;0.05;0.05;0.25;0.4;;;;;0.2;;;;;;1;;;;;;0.02;;;;;;0.25;;0.4;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;0.2;;;;;0.1;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;0.24;0.24;;;;;;;;;;;;;;;;;;;;;;;0.24;;;;;;0.02;;;;
;Tr_AnyPower;jewl;default;default;;0.05;0.05;0.25;0.4;;;;;0.2;;;;;;1;;;;;;0.05;;;;;;0.25;;0.4;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;0.2;;;;;0.03;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.24;0.24;0.24;0.04;0.24;;;;;0.04;0.04;0.24;0.24;0.24;0.24;0.24;0.04;0.24;0.24;0.24;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;0.02;;;;;
;Tr_AnyPower;amul;default;default;;0.1;0.05;0.5;0.8;;0.16;;;0.2;;;;;;1;;;;;;0.05;;;;;;0.25;;0.4;;;;;0.02;;;;;;0.5;;;;;;;;;;;;;;;;;;0.15;;;;;;;;;;;;;;;;;;;;0.03;0.2;0.2;;;0.2;0.2;0.2;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;0.04;;;;;;;;;;0.24;;0.24;0.24;0.24;;;;;;;;;;;;;;;;;;;;;;;0.24;;0.02;;;;;;;;
;Tr_AnyPower;reli;default;default;;0.05;0.1;0.5;0.1;0.3;0.3;;;0.5;;;;;;1;;;;;;0.05;;;;;;0.5;;0.65;;;;;0.05;;;;;;0.5;;;;;;;;;;;;;;;;;;0.3;;;;;;;0.2;;;;;;;;0.5;;;;;0.09;0.5;0.5;;;3;3;3;0.1;0.2;0.4;0.4;;;;0.2;;;;;;;;;;;1;;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;;;;;;;;;0.4;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;0.12;0.24;0.24;0.24;0.04;0.24;0.04;0.24;;;0.04;0.04;0.24;0.24;0.24;0.24;0.24;0.04;0.24;0.24;0.24;;;;;;;;;;;;;;;;;;0.04;;;;;0.24;0.02;0.02;0.02;0.02;0.02;0.02;;;;
;Tr_AnySummon;weap;default;default;;;;;;;;;;0.5;;;;;;;3;;;;;0.05;;;;;;;;1.65;;;;2.5;;;;;;;;0.4;1.2;;;;;;;;;;;0.5;;;;;;0.5;;;;;;;;;;;;;;;;;;;0.04;0.2;0.2;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;0.24;0.03;0.24;0.03;0.03;0.03;0.03;0.03;0.03;0.24;0.04;;;;;;;;;;0.02;0.02;;;;
;Tr_AnySummon;head;default;default;;0.5;0.25;2;0.8;;;;;0.25;;;;;;;0.5;;;;;0.05;;;;;;;;0.13;;;;0.2;;;;;;;;;;;;;;;;;;;;0.3;;;;;;0.3;;;;;;;;;;;;;;;;;;;0.03;0.5;0.5;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;0.04;;;;;;;;;;;;;;;;;;;;;;0.24;0.03;;0.03;0.03;0.03;0.03;0.03;0.03;0.24;;;;;;;0.02;;;;;;;;;
;Tr_AnySummon;tors;default;default;;0.5;0.25;2;0.8;0.3;0.15;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;0.3;;;;;;;;;;;;;;;;;;;0.03;0.1;0.1;;0.5;0.65;0.65;0.65;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;0.04;;;;0.04;;;;;;;;;;;;;;;;;;0.24;0.03;;0.03;0.03;0.03;0.03;0.03;0.03;0.24;;;;;;;;;;;;;;;;
;Tr_AnySummon;hand;default;default;;0.5;0.25;2;0.8;;;;;;;;;;;;0.5;;;;;0.05;;;;;;;;0.8;;;;1.5;;;;;;;;0.15;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;0.1;0.3;0.3;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;0.05;;;0.8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;
;Tr_AnySummon;wais;default;default;;0.5;0.25;2;0.8;0.4;0.3;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;0.2;;;;;;0.5;0.5;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;1;0.05;0.05;0.05;0.05;0.05;0.05;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;;;;;0.8;0.05;;;0.2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnySummon;feet;default;default;;0.5;0.25;2;0.8;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;0.35;0.15;0.7;0.7;0.05;;;;0.2;;;;;;0.2;0.2;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;0.05;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;;;;;;;;;;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;;;;
;Tr_AnySummon;ring;default;default;;0.05;0.05;0.25;0.4;;;;;0.2;;;;;;;1;;;;;0.02;;;;;;;;0.4;;;;0.6;;;;;;;;0.1;1;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;0.2;;;;;0.1;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;;;;
;Tr_AnySummon;jewl;default;default;;0.05;0.05;0.25;0.4;;;;;0.2;;;;;;;1;;;;;0.05;;;;;;;;0.4;;;;0.6;;;;;;;;0.1;1;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;0.2;;;;;0.03;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;0.04;;;;;;;;;;;0.24;0.03;0.24;0.03;0.03;0.03;0.03;0.03;0.03;0.24;0.04;;;;;;;;;;0.02;;;;;
;Tr_AnySummon;amul;default;default;;0.1;0.05;0.5;0.8;;0.16;;;0.2;;;;;;;1;;;;;0.05;;;;;;;;0.4;;;;0.6;;;;;;;;0.2;1;;;;;;;;;;;;;;;;;0.15;;;;;;;;;;;;;;;;;;;0.03;0.2;0.2;;;0.2;0.2;0.2;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.24;0.03;0.24;0.03;0.03;0.03;0.03;0.03;0.03;0.24;;;;;;;;0.02;;;;;;;;
