n/a;type;is_pos;is_stun;pc_disabled;code;preload;vfx;effect_type;p1;v1;p2;v2;p3;v3;p4;v4;p5;v5;p6;v6;p7;v7;p8;v8;eol;s1;v1;s1s;s2;v2;s2s;s3;v3;s3s;s4;v4;v4s;s4;v4;v4s;s5;v5;v5s;s6;v6;v6s;s7;v7;v7s;s8;v8;v8s;eol;#persec;#persec;#tot;#ability;eol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pburning_2s_11%;1;Entities/VFX/Burning/Burning_Fab;burned;;;;;;;;;;;;;;;;;0;dur;2;1;pow;0;1;minpow;0;1;maxpow;0;1;hpm;0.011;0;int;0.1;0;;;;;;;;;;0;0;11%;0+22%;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pburning_8;1;Entities/VFX/Burning/Burning_Fab;burned;;;;;;;;;;;;;;;;;0;dur;8;1;pow;1;1;minpow;0.1;1;maxpow;0.1;1;hpm;0;0;int;0.1;0;;;;;;;;;;0;1;0%;8+0%;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pburning_10;1;Entities/VFX/Burning/Burning_Fab;burned;;;;;;;;;;;;;;;;;0;dur;10;1;pow;1;1;minpow;0.1;1;maxpow;0.1;1;hpm;0;0;int;0.1;0;;;;;;;;;;0;1;0%;10+0%;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;ppoisoned_6s;1;Entities/VFX/Poisoned/Poisoned_Fab;poison;;;;;;;;;;;;;;;;;0;dur;6;1;pow;1;1;minpow;0.1;1;maxpow;0.1;1;hpm;0;0;int;0.1;0;st1;-0.3;1;st2;-0.3;1;cnt;1;1;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;ppoisoned;1;Entities/VFX/Poisoned/Poisoned_Fab;poison;;;;;;;;;;;;;;;;;0;dur;10;1;pow;1;1;minpow;0.1;1;maxpow;0.1;1;hpm;0;0;int;0.1;0;st1;-0.3;1;st2;-0.3;1;cnt;1;1;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pplague_5s;1;Entities/VFX/Poisoned/Poisoned_Fab;poison;;;;;;;;;;;;;;;;;0;dur;5;1;pow;0;1;minpow;0;1;maxpow;0;1;hpm;0;0;int;0.1;0;st1;0;1;st2;-1;1;cnt;1;1;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pchilled_4_4%;1;Entities/VFX/Chilled/Chilled_Fab;chilled;code_frozen;pchilled_4_4%;;;;;;;;;;;;;;;0;dur;4;1;per;0.04;1;sta;9999;0;;;;;;;;;;;;;;;;;;;0;;;;Slows enemies by 10% for 1s | separately stackable. If reach 100% changes to Frozen status.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pchilled_4_6%;1;Entities/VFX/Chilled/Chilled_Fab;chilled;code_frozen;pchilled_4_6%;;;;;;;;;;;;;;;0;dur;4;1;per;0.06;1;sta;9999;0;;;;;;;;;;;;;;;;;;;0;;;;Slows enemies by 10% for 1s | separately stackable. If reach 100% changes to Frozen status.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pchilled_4_10%;1;Entities/VFX/Chilled/Chilled_Fab;chilled;code_frozen;pchilled_4_10%;;;;;;;;;;;;;;;0;dur;4;1;per;0.1;1;sta;9999;0;;;;;;;;;;;;;;;;;;;0;;;;Slows enemies by 10% for 1s | separately stackable. If reach 100% changes to Frozen status.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pchilled_4_20%;1;Entities/VFX/Chilled/Chilled_Fab;chilled;code_frozen;pchilled_4_20%;;;;;;;;;;;;;;;0;dur;4;1;per;0.2;1;sta;9999;0;;;;;;;;;;;;;;;;;;;0;;;;Slows enemies by 10% for 1s | separately stackable. If reach 100% changes to Frozen status.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pchilled_4_30%;1;Entities/VFX/Chilled/Chilled_Fab;chilled;code_frozen;pchilled_4_30%;;;;;;;;;;;;;;;0;dur;4;1;per;0.3;1;sta;9999;0;;;;;;;;;;;;;;;;;;;0;;;;Slows enemies by 10% for 1s | separately stackable. If reach 100% changes to Frozen status.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pchilled;1;Entities/VFX/Chilled/Chilled_Fab;chilled;code_frozen;pfrozen;;;;;;;;;;;;;;;0;dur;4;1;per;0.2;1;sta;9999;0;;;;;;;;;;;;;;;;;;;0;;;;Slows enemies by 10% for 1s | separately stackable. If reach 100% changes to Frozen status.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pchilled_01;1;Entities/VFX/Chilled/Chilled_Fab;chilled;code_frozen;pfrozen;;;;;;;;;;;;;;;0;dur;3;1;per;0.06;1;sta;9999;0;;;;;;;;;;;;;;;;;;;0;;;;Slows enemies by 10% for 1s | separately stackable. If reach 100% changes to Frozen status.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pfrozen;1;Entities/VFX/Frozen/Frozen_Fab;frozen;code_immune;pchill_immune;;;;;;;;;;;;;;;0;dur;1;0.33;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t move or use actions. Lasts 1 seconds | unstackable. After this debuff expires | the affected can’t be chilled for 3 seconds.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pfrozen_0.5s;1;Entities/VFX/Frozen/Frozen_Fab;frozen;code_immune;pchill_immune;;;;;;;;;;;;;;;0;dur;0.5;0.33;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t move or use actions. Lasts 1 seconds | unstackable. After this debuff expires | the affected can’t be chilled for 3 seconds.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pfrozen_05;1;Entities/VFX/Frozen/Frozen_Fab;frozen;code_immune;pchill_immune;;;;;;;;;;;;;;;0;dur;0.5;0.33;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t move or use actions. Lasts 1 seconds | unstackable. After this debuff expires | the affected can’t be chilled for 3 seconds.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pfrozen_08;1;Entities/VFX/Frozen/Frozen_Fab;frozen;code_immune;pchill_immune;;;;;;;;;;;;;;;0;dur;0.8;0.33;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t move or use actions. Lasts 1 seconds | unstackable. After this debuff expires | the affected can’t be chilled for 3 seconds.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pfrozen_6s_0sca;1;Entities/VFX/Frozen/Frozen_Fab;frozen;code_immune;pchill_immune;;;;;;;;;;;;;;;0;dur;6;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t move or use actions. Lasts 1 seconds | unstackable. After this debuff expires | the affected can’t be chilled for 3 seconds.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Misc;TRUE;FALSE;TRUE;pchill_immune;;;chill_immune;;;;;;;;;;;;;;;;;0;dur;1.5;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Can't be chilled or frozen.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pimmobilized;1;Entities/VFX/Immobilized/Immobilized_Fab;immobilized;code_immune;pimmobilized_immune;;;;;;;;;;;;;;;0;dur;1.2;0.33;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;TRUE;FALSE;TRUE;pimmobilized_immune;1;;immobilized_immune;;;;;;;;;;;;;;;;;0;dur;4;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pstunned;1;Entities/VFX/Immobilized/Immobilized_Fab;immobilized;code_immune;pimmobilized_immune;;;;;;;;;;;;;;;0;dur;0.8;0.33;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pinside_djinnfire;;;on_effect_tile;code_status;pdjinnburning;;;;;;;;;;;;;;;0;dur;9999;0;int;0.6;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected gets a burning status when first applied | then another every AT interval.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;FALSE;TRUE;pdjinnburning;1;Entities/VFX/Burning/Burning_Fab;burned;;;;;;;;;;;;;;;;;0;dur;5;1;pow;1;1;minpow;0.2;1;maxpow;0.2;1;hpm;0;0;int;0.1;0;;;;;;;;;;0;2;0%;10+0%;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pimmobilized_1.2s;1;Entities/VFX/Immobilized/Immobilized_Fab;immobilized;code_immune;pimmobilized_immune;;;;;;;;;;;;;;;0;dur;1.2;0.33;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pimmobilized_0.9s;1;Entities/VFX/Immobilized/Immobilized_Fab;immobilized;;;;;;;;;;;;;;;;;0;dur;0.9;0.33;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pimmobilized_0.2s;1;Entities/VFX/Immobilized/Immobilized_Fab;immobilized;;;;;;;;;;;;;;;;;0;dur;0.2;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pfrozen_1s;1;Entities/VFX/Frozen/Frozen_Fab;frozen;code_immune;pnot_immune;;;;;;;;;;;;;;;0;dur;1;0.33;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t move or use actions. Lasts 1 seconds | unstackable. After this debuff expires | the affected can’t be chilled for 3 seconds.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pfrozen_0.2s;1;Entities/VFX/Frozen/Frozen_Fab;frozen;code_immune;pnot_immune;;;;;;;;;;;;;;;0;dur;0.2;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t move or use actions. Lasts 1 seconds | unstackable. After this debuff expires | the affected can’t be chilled for 3 seconds.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pScarecrow_immobilized;1;Entities/VFX/Immobilized/Immobilized_Fab;immobilized;;;;;;;;;;;;;;;;;0;dur;0.2;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pFaerieArcane_LaserShackle;1;Entities/VFX/Immobilized/ImmobilizedArcane_Fab;immobilized;;;;;;;;;;;;;;;;;0;dur;0.15;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curse;FALSE;TRUE;TRUE;pchrono;;;statm_perc;stat1;mvm;stat2;vlc;stat3;spd;stat4;rot;;;;;;;;;0;dur;0.3;0;st1;-0.5;1;st2;-1;1;st3;-0.5;1;st4;-1;1;;;;;;;;;;;;;0;;;;(also affects missiles & other such entities) Movement and velocity of affected slowed by X%.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;divinewings;1;Entities/Boons/DivineWings/DivineWings_Fab;statm_perc;stat1;mvm;;;;;;;;;;;;;;;0;dur;1;1;st1;0.15;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Misc;TRUE;FALSE;TRUE;pnot_immune;;;chill_immune;;;;;;;;;;;;;;;;;0;dur;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Can't be chilled or frozen.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Shrine;TRUE;FALSE;TRUE;ss_invulnerable;1;Entities/VFX/Invulnerable/Invulnerable_Fab;invulnerable;;;;;;;;;;;;;;;;;0;dur;8;0.2;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Shrine;TRUE;FALSE;TRUE;ss_stamina;1;Entities/VFX/Stamina/Stamina_Fab;statm_perc;stat1;mvm;;;;;;;;;;;;;;;0;dur;30;0.66;st1;0.3;1;;;;;;;;;;;;;;;;;;;;;;0;;;;Increases xp gain by 100%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Shrine;TRUE;FALSE;TRUE;ss_xp;1;Entities/VFX/Experience/Experience_Fab;statm_perc;stat1;xpm;;;;;;;;;;;;;;;0;dur;30;1;st1;1;1;;;;;;;;;;;;;;;;;;;;;;0;;;;Increases xp gain by 100%;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Shrine;TRUE;FALSE;TRUE;ss_collect;1;Entities/VFX/Collector/Collector_Fab;gem_collect;;;;;;;;;;;;;;;;;0;dur;15;1;vlc;17;1;rng;80;0;;;;;;;;;;;;;;;;;;;0;;;;Pulls all existing gems towards the Player.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MapObject;FALSE;TRUE;TRUE;tome_necronomicon_stunned;1;Entities/VFX/Stunned/Stunned_Fab;stunned;;;;;;;;;;;;;;;;;0;dur;1.5;1;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MapObject;TRUE;FALSE;TRUE;obelisk_sanctuary;1;Entities/VFX/Invulnerable/Invulnerable_Fab;invulnerable;;;;;;;;;;;;;;;;;0;dur;10;1;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MapObject;TRUE;FALSE;TRUE;stone_collecting;1;Entities/VFX/Collector/Collector_Fab;gem_collect;;;;;;;;;;;;;;;;;0;dur;25;1;vlc;17;1;rng;80;0;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MapObject;TRUE;FALSE;TRUE;npc_snail_moor;1;Entities/VFX/Slowed/Slowed_Fab;poison;;;;;;;;;;;;;;;;;0;dur;0.25;1;pow;0;1;minpow;0;1;maxpow;0;1;hpm;0;0;int;0.1;0;st1;-0.33;1;st2;0;1;cnt;1;1;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MapObject;FALSE;FALSE;TRUE;ppoisoned_self;1;Entities/VFX/Poisoned/Poisoned_Fab;poison;;;;;;;;;;;;;;;;;0;dur;10;0;pow;1;0;minpow;0.1;0;maxpow;0.1;0;hpm;0;0;int;0.1;0;st1;-0.3;0;st2;-0.3;0;cnt;1;0;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MapObject;TRUE;FALSE;TRUE;mouse;1;;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;9999;1;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MapObject;TRUE;FALSE;TRUE;flower;1;;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;9999;1;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MapObject;TRUE;FALSE;TRUE;gold;1;;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;9999;1;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MapObject;TRUE;FALSE;TRUE;leveledup;1;;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;9999;1;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Special;TRUE;FALSE;TRUE;solvl1;1;Entities/VFX/Collector/Collector_Fab;gem_collect;;;;;;;;;;;;;;;;;0;dur;15;1;vlc;9;1;rng;80;1;;;;;;;;;;;;;;;;;;;0;;;;Pulls all existing gems towards the Player.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Special;TRUE;FALSE;TRUE;sosh2;1;Entities/VFX/Collector/Collector_Fab;gem_collect;;;;;;;;;;;;;;;;;0;dur;10;1;vlc;9;1;rng;80;1;;;;;;;;;;;;;;;;;;;0;;;;Pulls all existing gems towards the Player.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unique;TRUE;FALSE;TRUE;Equilibrium;1;Entities/VFX/_Shared/Overhead/Medicine_Fab;statm_perc;stat1;hpg;group;P;;;;;;;;;;;;;0;dur;3.5;1;st1;2;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unique;TRUE;FALSE;TRUE;Shepherd;1;Entities/VFX/_Shared/Overhead/CurveSword_Fab;statm_perc;stat1;spd;group;P.Weapon;;;;;;;;;;;;;0;dur;10;1;st1;2;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unique;TRUE;FALSE;TRUE;Jackrabbit;1;Entities/VFX/Jackrabbit/Jackrabbit_Fab;statm_perc;stat1;mvm;;;;;;;;;;;;;;;0;dur;3;1;st1;0.25;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected can’t do anything.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unique;TRUE;FALSE;TRUE;TheForgiver;1;Entities/VFX/Marked/TheForgiver_Fab;inc_dmg_perc;;;;;;;;;;;;;;;;;0;dur;9999;0;per;0.6;0;;;;;;;;;;;;;;;;;;;;;;0;;;;Affected deals X% less *global* damage.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
