n/a;act;#m;#val;#begin;#end;count;#val;elite;#OLD ref;#;w1|1;am;monster;#;w1|2;am;monster;#;w1|3;am;monster;#;w1|4;am;monster;#;w1|5;am;monster;#;w1|6;am;monster;#;w1|7;am;monster;#;w1|8;am;monster;eol;#xp;#xp;#xp;mode;begin;end;repeat;shared_hp;endmonster;#repeats;rep_int;eol;#;#;#;#;#;#
;5;2;140;12:02:00 AM;12:03:00 AM;140;300;0.6;Efrete;50%;1;123;DPS;50%;1;12;RangedDPS;;;;;;;;;;;;;;;;;;;;;;;;;0;2700;5400;8100;tre;120;180;FALSE;FALSE;;1;x;0;;;;;;
;5;3;170;12:03:00 AM;12:04:00 AM;170;470;0.2;Zombie;33%;1;123;Tank;33%;1;123;Horde;33%;1;12;InitiatorHorde;;;;;;;;;;;;;;;;;;;;;0;4230;8460;12690;tre;180;240;FALSE;FALSE;;1;x;0;;;;;;
;5;4;170;12:04:00 AM;12:05:00 AM;170;640;0.2;Cat;33%;1;123;Ranged;33%;1;12;RangedDisabler;33%;1;12;RangedHorde;;;;;;;;;;;;;;;;;;;;;0;5760;11520;17280;tre;240;300;FALSE;FALSE;;1;x;0;;;;;;
;5;5;170;12:05:00 AM;12:06:00 AM;170;810;0.2;Jacka;25%;1;123;DPS;25%;1;12;DPSNuker;25%;1;12;TankDPS;25%;1;12;InitiatorHorde;;;;;;;;;;;;;;;;;0;7290;14580;21870;tre;300;360;FALSE;FALSE;;1;x;0;;;;;;
;5;6;160;12:06:00 AM;12:07:00 AM;160;970;0.2;Zombie;20%;1;123;DPS;20%;1;1;Horde;20%;1;12;TankInitiator;20%;1;12;TankDPS;20%;1;12;TankDisabler;;;;;;;;;;;;;0;8730;17460;26190;tre;360;420;FALSE;FALSE;;1;x;0;;;;;;
;5;7;;12:07:00 AM;x;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;eve;420;x;FALSE;FALSE;MummyB;1;x;0;;;;;;
;5;7;65;12:07:00 AM;12:08:00 AM;65;65;1;;100%;1;1;MummyB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;585;1170;1755;tre;420;480;FALSE;FALSE;;1;x;0;;;;;;
;5;8.00000000000001;150;12:08:00 AM;12:09:00 AM;150;215;0.2;Efreet ArcherFire;33%;1;12;RangedDPS;33%;1;12;RangedMobile;33%;1;12;RangedController;;;;;;;;;;;;;;;;;;;;;0;1935;3870;5805;tre;480;540;FALSE;FALSE;;1;x;0;;;;;;
;5;9.00000000000001;170;12:09:00 AM;12:10:00 AM;170;385;0.2;Cat;33%;1;12;Ranged;33%;1;123;Accumulator;33%;1;12;DisablerAccumulator;;;;;;;;;;;;;;;;;;;;;0;3465;6930;10395;tre;540;600;FALSE;FALSE;;1;x;0;;;;;;
;5;10;220;12:10:00 AM;12:11:00 AM;220;605;0.2;Zombie;33%;1;123;DPS;33%;1;123;Horde;33%;1;12;InitiatorHorde;;;;;;;;;;;;;;;;;;;;;0;5445;10890;16335;tre;600;660;FALSE;FALSE;;1;x;0;;;;;;
;5;11;170;12:11:00 AM;12:12:00 AM;170;775;0.2;Insec;17%;1;123;Nuker;17%;1;12;DPSNuker;17%;1;12;NukerDisabler;17%;1;12;NukerMobile;17%;1;12;TankNuker;17%;1;12;NukerHorde;;;;;;;;;0;6975;13950;20925;tre;660;720;FALSE;FALSE;;1;x;0;;;;;;
;5;12;200;12:12:00 AM;12:13:00 AM;200;975;0.2;Archer Elites;33%;1;123;Controller;33%;1;12;ControllerDisabler;33%;1;12;RangedController;;;;;;;;;;;;;;;;;;;;;0;8775;17550;26325;tre;720;780;FALSE;FALSE;;1;x;0;;;;;;
;5;13;170;12:13:00 AM;12:14:00 AM;170;1145;0.3;Jackal Curser;20%;1;123;Initiator;20%;1;12;TankInitiator;20%;1;12;TankDPS;20%;1;12;DPSNuker;20%;1;12;TankHorde;;;;;;;;;;;;;0;10305;20610;30915;tre;780;840;FALSE;FALSE;;1;x;0;;;;;;
;5;14;;12:14:00 AM;x;x;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;eve;840;x;FALSE;FALSE;InsectQueenB;1;x;0;;;;;;
;5;14;65;12:14:00 AM;12:15:00 AM;65;65;;;;;;InsectQueenB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;585;1170;1755;tre;840;900;FALSE;FALSE;;1;x;0;;;;;;
;5;14;90;12:14:00 AM;x;3;;1;;100%;1;1;AcolyteE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;add;840;x;FALSE;FALSE;;1;x;0;;;;;;
;5;15;170;12:15:00 AM;12:16:00 AM;170;170;0.3;Phantomsand;17%;1;123;Initiator;17%;1;12;InitiatorDPS;17%;1;12;InitiatorNuker;17%;1;12;InitiatorController;17%;1;12;InitiatorHorde;17%;1;12;InitiatorMobile;;;;;;;;;0;1530;3060;4590;tre;900;960;FALSE;FALSE;;1;x;0;;;;;;
;5;16;200;12:16:00 AM;12:17:00 AM;200;370;0.3;Bomber;25%;1;123;Mobile;25%;1;123;Nuker;25%;1;12;InitiatorMobile;25%;1;12;MobileHorde;;;;;;;;;;;;;;;;;0;3330;6660;9990;tre;960;1020;FALSE;FALSE;;1;x;0;;;;;;
;5;17;220;12:17:00 AM;12:18:00 AM;220;590;0.4;RockElem Vlc Cats;33%;1;12;InitiatorRanged;33%;1;12;TankHorde;33%;1;12;InitiatorHorde;;;;;;;;;;;;;;;;;;;;;0;5310;10620;15930;tre;1020;1080;FALSE;FALSE;;1;x;0;;;;;;
;5;18;250;12:18:00 AM;12:19:00 AM;250;840;0.4;Jackall Insects;33%;1;12;NukerController;33%;1;12;NukerDisabler;33%;1;12;TankNuker;;;;;;;;;;;;;;;;;;;;;0;7560;15120;22680;tre;1080;1140;FALSE;FALSE;;1;x;0;;;;;;
;5;19;220;12:19:00 AM;12:20:00 AM;220;1060;0.6;Bomber;33%;1;12;NukerController;33%;1;12;NukerMobile;33%;1;12;NukerAccumulator;;;;;;;;;;;;;;;;;;;;;0;9540;19080;28620;tre;1140;1200;FALSE;FALSE;;1;x;0;;;;;;
;5;20;;12:20:00 AM;x;x;;;;;;;boss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;eve;1200;x;FALSE;FALSE;DjinnB;1;x;0;;;;;;
;5;20;400;12:20:00 AM;x;1;;;;;;;DjinnB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;add;1200;x;FALSE;FALSE;;1;x;0;;;;;;
