n/a;#;#;#;#;#;#;;;#;;;#;#;#;;;#;;;#;;;#;#;#;;;#;#;#;;;#;;;#;;;#;#;#;;;#;#;#;;;#;;;#;;;#;#;#;;;#;#;#;;;#;;;#;;;#;#;#;;;#;#;#;;;#;;;#;;;#;#;#;#;a1%;a2%;a3%;a4%;a5%;a6%;a7%;a8%;a9%;a10%;a11%;a12%;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;eol
;07_05;05_07;Ring_Basic_01;ringmyth;ring5;Ring;ring;myth;ring1;50;50;50;31.5;18.5;0;0;0;0;0;0;28;35;31.5;;ring2;98;98;98;63;35;0;0;0;0;0;0;56;70;63;;ring3;154;154;154;94.5;59.5;0;0;0;0;0;0;84;105;94.5;;ring4;227;227;227;126;101;0;0;0;0;0;0;112;140;126;;ring5;341;341;341;157.5;183.5;0;0;0;0;0;0;140;175;157.5;;ring;2.4;0.13;0.9;0.75;0.063;;;;;;;;;7.05%;48.83%;40.69%;3.42%;';';';';';';';';;;;;;;;;;;;0
;08_05;05_08;Jewl_BasicRed_01;jewlmyth;jewl5;Jewel;jewl;myth;jewl1;50;50;50;31.5;18.5;0;0;0;0;0;0;28;35;31.5;;jewl2;98;98;98;63;35;0;0;0;0;0;0;56;70;63;;jewl3;154;154;154;94.5;59.5;0;0;0;0;0;0;84;105;94.5;;jewl4;227;227;227;126;101;0;0;0;0;0;0;112;140;126;;jewl5;341;341;341;157.5;183.5;0;0;0;0;0;0;140;175;157.5;;jewl;2.4;0.13;0.9;0.75;0.063;;;;;;;;;7.05%;48.83%;40.69%;3.42%;';';';';';';';';;;;;;;;;;;;0
;09_05;05_09;Amul_Basic_01;amulmyth;amul5;Amulet;amul;myth;amul1;50;50;50;31.5;18.5;0;0;0;0;0;0;28;35;31.5;;amul2;98;98;98;63;35;0;0;0;0;0;0;56;70;63;;amul3;154;154;154;94.5;59.5;0;0;0;0;0;0;84;105;94.5;;amul4;227;227;227;126;101;0;0;0;0;0;0;112;140;126;;amul5;341;341;341;157.5;183.5;0;0;0;0;0;0;140;175;157.5;;amul;2.4;0.13;0.9;0.75;0.063;;;;;;;;;7.05%;48.83%;40.69%;3.42%;';';';';';';';';;;;;;;;;;;;0
;10_05;05_10;Reli_Coral_01;relimyth;reli5;Relic;reli;myth;reli1;72;72;72;21;51;0;0;0;0;0;0;21;21;21;;reli2;140;140;140;54;86;0;0;0;0;0;0;54;54;54;;reli3;220;220;220;99;121;0;0;0;0;0;0;99;99;99;;reli4;325;325;325;144;181;0;0;0;0;0;0;144;144;144;;reli5;488;488;488;210;278;0;0;0;0;0;0;210;210;210;;reli;2.52;0.27;0.9;0.875;0.25;0.038;;;;;;;;11.57%;38.58%;37.51%;10.72%;1.63%;';';';';';';';;;;;;;;;;;;0
;01_06;06_01;???;weapimmo;weap6;Weapon;weap;immo;weap1;157;157;157;83;75;83;83;83;0;0;0;0;0;0;;weap2;307;307;307;165;142;165;165;165;0;0;0;0;0;0;;weap5;484;484;484;275;209;275;275;275;0;0;0;0;0;0;;weap5;714;714;714;385;329;385;385;385;0;0;0;0;0;0;;weap5;1073;1073;1073;550;523;550;550;550;0;0;0;0;0;0;;weap;2.38;0.5;1;0.8;0.3;0.03;;;;;;;;19.01%;38.02%;30.42%;11.41%;1.14%;';';';';';';';;;;;;;;;;;;0
;02_06;06_02;Head_Armet_01;headimmo;head6;Head;head;immo;head1;95;95;95;2;93;15;15;15;0;0;0;0;0;0;;head2;184;184;184;3;181;32;32;32;0;0;0;0;0;0;;head5;290;290;290;5;285;50;50;50;0;0;0;0;0;0;;head5;428;428;428;7;421;72;72;72;0;0;0;0;0;0;;head5;644;644;644;10;634;96;96;96;0;0;0;0;0;0;;head;2.34;0.4;1;0.7;0.2;0.03;;;;;;;;17.17%;42.92%;30.04%;8.58%;1.29%;';';';';';';';;;;;;;;;;;;0
;03_06;06_03;Tors_ClothRobe_01;torsimmo;tors6;Torso;tors;immo;tors1;157;157;157;55;103;26;26;26;0;0;0;50;50;50;;tors2;307;307;307;72;235;53;53;53;0;0;0;62;62;62;;tors5;484;484;484;167;317;88;88;88;0;0;0;150;150;150;;tors5;714;714;714;200;514;132;132;132;0;0;0;174;174;174;;tors5;1073;1073;1073;331;741;171;171;171;0;0;0;297;297;297;;tors;2.38;0.5;1;0.8;0.3;0.03;;;;;;;;19.01%;38.02%;30.42%;11.41%;1.14%;';';';';';';';;;;;;;;;;;;0
;04_06;06_04;Hand_Cloth_01;handimmo;hand6;Hands;hand;immo;hand1;70;70;70;30;41;6;6;6;29;29;29;0;0;0;;hand2;139;139;139;40;99;11;11;11;37;37;37;0;0;0;;hand5;218;218;218;63;155;19;19;19;59;59;59;0;0;0;;hand5;321;321;321;93;228;26;26;26;88;88;88;0;0;0;;hand5;483;483;483;139;343;37;37;37;132;132;132;0;0;0;;hand;2.2;0.3;1;0.6;0.05;;;;;;;;;15.38%;51.28%;30.77%;2.56%;';';';';';';';';;;;;;;;;;;;0
;05_06;06_05;Wais_Leather_01;waisimmo;wais6;Waist;wais;immo;wais1;40;40;40;1;38;3;3;3;0;0;0;0;0;0;;wais2;77;77;77;2;75;7;7;7;0;0;0;0;0;0;;wais5;121;121;121;4;117;10;10;10;0;0;0;0;0;0;;wais5;178;178;178;5;173;15;15;15;0;0;0;0;0;0;;wais5;268;268;268;7;261;21;21;21;0;0;0;0;0;0;;wais;2.07;0.2;1;0.3;;;;;;;;;;13.33%;66.67%;20%;';';';';';';';';';;;;;;;;;;;;0
;06_06;06_06;Feet_Cloth_01;feetimmo;feet6;Feet;feet;immo;feet1;70;70;70;31;39;8;8;8;0;0;0;26;33;30;;feet2;139;139;139;62;76;15;15;15;0;0;0;53;66;59;;feet5;218;218;218;95;123;28;28;28;0;0;0;79;99;89;;feet5;321;321;321;127;195;39;39;39;0;0;0;106;132;119;;feet5;483;483;483;159;324;53;53;53;0;0;0;132;165;149;;feet;2.2;0.3;1;0.6;0.05;;;;;;;;;15.38%;51.28%;30.77%;2.56%;';';';';';';';';;;;;;;;;;;;0
;07_06;06_07;Ring_Basic_01;ringimmo;ring6;Ring;ring;immo;ring1;55;55;55;35;20;0;0;0;0;0;0;31;39;35;;ring2;108;108;108;69;39;0;0;0;0;0;0;62;77;69;;ring5;169;169;169;104;65;0;0;0;0;0;0;92;116;104;;ring5;250;250;250;139;111;0;0;0;0;0;0;123;154;139;;ring5;375;375;375;173;202;0;0;0;0;0;0;154;193;173;;ring;2.2;0.3;1;0.6;0.05;;;;;;;;;15.38%;51.28%;30.77%;2.56%;';';';';';';';';;;;;;;;;;;;0
;08_06;06_08;Jewl_BasicRed_01;jewlimmo;jewl6;Jewel;jewl;immo;jewl1;55;55;55;35;20;0;0;0;0;0;0;31;39;35;;jewl2;108;108;108;69;39;0;0;0;0;0;0;62;77;69;;jewl5;169;169;169;104;65;0;0;0;0;0;0;92;116;104;;jewl5;250;250;250;139;111;0;0;0;0;0;0;123;154;139;;jewl5;375;375;375;173;202;0;0;0;0;0;0;154;193;173;;jewl;2.2;0.3;1;0.6;0.05;;;;;;;;;15.38%;51.28%;30.77%;2.56%;';';';';';';';';;;;;;;;;;;;0
;09_06;06_09;Amul_Basic_01;amulimmo;amul6;Amulet;amul;immo;amul1;55;55;55;35;20;0;0;0;0;0;0;31;39;35;;amul2;108;108;108;69;39;0;0;0;0;0;0;62;77;69;;amul5;169;169;169;104;65;0;0;0;0;0;0;92;116;104;;amul5;250;250;250;139;111;0;0;0;0;0;0;123;154;139;;amul5;375;375;375;173;202;0;0;0;0;0;0;154;193;173;;amul;2.2;0.3;1;0.6;0.05;;;;;;;;;15.38%;51.28%;30.77%;2.56%;';';';';';';';';;;;;;;;;;;;0
;10_06;06_10;Reli_Coral_01;reliimmo;reli6;Relic;reli;immo;reli1;79;79;79;23;56;0;0;0;0;0;0;23;23;23;;reli2;154;154;154;59;95;0;0;0;0;0;0;59;59;59;;reli5;242;242;242;109;133;0;0;0;0;0;0;109;109;109;;reli5;358;358;358;158;199;0;0;0;0;0;0;158;158;158;;reli5;537;537;537;231;306;0;0;0;0;0;0;231;231;231;;reli;2.23;0.6;1;0.7;0.2;0.03;;;;;;;;23.72%;39.53%;27.67%;7.91%;1.19%;';';';';';';';;;;;;;;;;;;0
