;;#Name;#Code Description;#Dev Description;#;#;#;#;#;#;#;#;#;#;;;;#;;Stat Group;slot;;;;#tier;#;#;Ability1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability5;;;;;;;;;;;;;;;;;;;;;Ability6;;;;;;;;;;;;;;;;;;;;;Ability7;;;;;;;;;;;;;;;;;;;;;Ability8;;;;;;;;;;;;;;;;;;;;;Ability9;;;;;;;;;;;;;;;;;;;;;Ability10;;;;;;;;;;;;;;;Ability11;;;;;;;;;;;;;;;#;LVL_0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fun_LVL_0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fun_LVL_1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fun_LVL_2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fun_LVL_3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;fun_LVL_4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LVL_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BarDmgVsBarriers;Pulverize;;"+4/8/12/16/20% Damage against enemy barriers";;;A;;;;;;;;Barbarian;3;3;4;;P.Skill.Passive;none;5;;;1;dbar%;Damage % vs barriers;dmg_vs;re_bar;;pass;tale;group;;;;;;;;;;;;0;ldmgbarr+%;per;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;5;;0.03;0.06;0.09;0.12;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.03;0.06;0.09;0.12;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;BarArmorGain;Iron Will;;"+2/4/6/8/10% More Value from Armor";;G;;;;;;;;;Barbarian;1;4;5;BarLife;P.Skill.Passive;none;5;;;1;;;sc;stat;arm;group;P;pass;tale;;;;;;;;;;;0;larmor+%;per;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;5;;0.03;0.06;0.09;0.12;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.03;0.06;0.09;0.12;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;BarEnrageDashCd;Trample;;"While Enraged | -10/20/30% Dash Cooldowns";;;;D;;;;;;;Barbarian;2;4;5;BarEnrage;P.Skill.Passive;none;5;;;1;;;sc;stat;rcs;group;P.Dash;pass;tale;o_status;enrage;;;;;;;;;0;lrcs+%;per;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;5;;0.08;0.16;0.24;0.32;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.08;0.16;0.24;0.32;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;BarDmgTakenDmgDealt;Recklessness;;"Damage Taken +5/10/15% | Damage Dealt +10/20/30%";;G;;;;;;;;;Barbarian;3;4;5;;P.Skill.Passive;none;5;;;1;d%;Damage %;sc;pass;tale;stat;pow;group;;;;;;;;;;;;0;ldmgdealt+%;per;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;inc_dmg_perc;;;;;;;;;;;;;;;0;ldmgtaken+%;per;LVL_1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;5;;0.04;0.08;0.12;0.16;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;0.04;0.06;0.08;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.04;0.08;0.12;0.16;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02;0.04;0.06;0.08;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;BarPowerSlot;Barbarian’s Wisdom;;"+1/2 Power Slots";;;;;;;P;;;;Barbarian;5;4;5;;P.Skill.Passive;none;2;;;1;;;boon_slot;slot;power;;;;;;;;;;;;;;;0;lpslot+;st1;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;2;;1;2;3;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;1;2;3;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;BarCantGetStunned;Unmovable;;"Can’t be stunned or frozen";;G;;;;;;;;;Barbarian;1;5;5;;P.Skill.Passive;none;1;;;1;;;immune_disable;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;immune_chill;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;1;;0.03;0.06;0.09;0.12;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.03;0.06;0.09;0.12;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;BarValueFromAttackArea;Cleave;;"+3/6/9/12% Extra value from Attack Area";;;A;;;;;;;;Barbarian;4;5;5;BarAttackStrikeArea;P.Skill.Passive;none;4;;;1;;;sc;stat;are;group;P.Weapon;pass;addv;;;;;;;;;;;0;lare+%;per;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;4;;0.06;0.12;0.18;0.24;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.06;0.12;0.18;0.24;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;BarDmgVsStunned;Ravage;;"Stunned/Frozen/Immobilized/Feared enemies take +12/24/36% Damage";;G;;;;;;;;Sta;Barbarian;3;5;5;;P.Skill.Passive;none;3;;;1;;;dmg_vs;re_disabled;;pass;tale;group;;;;;;;;;;;;0;ldmg+%;per;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;3;;0.33;0.66;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.33;0.66;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;BarMasterOffers;Renowned Master;;"+2/4% Master Offers";;G;;;;;;;;;Barbarian;5;5;5;;P.Skill.Passive;none;2;;;1;msm%;Master Skills %;gstatm_base;stat;prm;;;;;;;;;;;;;;;0;lmsm+%;val;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;2;;0.02;0.04;0.06;0.08;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.02;0.04;0.06;0.08;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;BarLifeToLifeReg;Behemoth Heart;;"0.1/0.2/0.3% from Max Life as Life Regen";;G;;;;;;;;;Barbarian;1;6;6;;P.Skill.Passive;none;4;;;1;;;sc_transfer_final;stat_from;hp;stat_to;hpr;group_to;;pass;base;;;;;;;;;0;lperc3%;st1;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;4;;0.0005;0.001;0.0015;0.002;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.0005;0.001;0.0015;0.002;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;BarDmgUntilAttack;Overwhelming Momentum;;"Gain +10/20% Attack Damage and Area every second until you attack (max 100/200%)";;;A;;;;;;;;Barbarian;4;6;6;;P.Skill.Passive;none;2;;;1;;;apply_status;status;momentum;trigger;int_cd;in_entity;out_owner;;;;;;;;;;;0;;cnt;1;0;;cha;1;0;ladmgmax+%;st1;LVL_1;0;;int;0.2;0;laaremax+%;st2;LVL_1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;sc;stat;cnt;group;St.momentum;pass;base;;;;;;;;;0;;val;15;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;sc_perstack;stat;pow;group;P.Weapon;pass;tale;status;momentum;;;;;;;0;ladmgpersec+5m%;per;LVL_0;0;;;;;;;;;;;;;;;;;0;sc_perstack;stat;are;group;P.Weapon;pass;tale;status;momentum;;;;;0;laarepersec+5m%;per;LVL_0;0;;;;;;;;;;;;;;;;;0;remove_status;trigger;attack_spawned;status;momentum;in_entity;out_owner;;;;;0;;cha;1;0;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;2;;0.04;0.08;0.12;0.16;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;1.2;1.8;2.4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.04;0.08;0.12;0.16;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;1.2;1.8;2.4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
;BarLegendaryOffers;A Living Legend;;"+15/30/45% Legendary Offers";;G;;;;;;;;;Barbarian;5;6;6;;P.Skill.Passive;none;3;;;1;msl%;Legend Skills %;gstatm_base;stat;prl;;;;;;;;;;;;;;;0;lmsl+%;val;LVL_0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;;;;;;0;;;;;;;;;0;3;;0.03;0.06;0.09;0.12;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0.03;0.06;0.09;0.12;0.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0
