;;#;team;#;#;#;#;#;#;#dmg;#;#;#;#;#;#;#;#;#;#hits;#;#;#;#;#;#;#;#;#;npow1;#npow1;#_tsca;_gro;npow2;#npow2;#_tsca;_gro;npow3;#npow3;#_tsca;_gro;npow4;#npow4;#_tsca;_gro;npow5;#npow5;#_tsca;_gro;#powB;mpow1;#mpow1;#_tsca;_gro;mpow2;#mpow2;#_tsca;_gro;mpow3;#mpow3;#_tsca;_gro;mpow4;#mpow4;#_tsca;_gro;mpow5;#mpow5;#_tsca;_gro;#atB;tim1;#tim1;#_tsca;_gro;tim2;#tim2;#_tsca;_gro;tim3;#tim3;#_tsca;_gro;tim4;#tim4;#_tsca;_gro;tim5;#tim5;#_tsca;_gro;tim2;#tim2;_gro;are;#are;_gro;aicd;#aicd;_gro;min_a;#min_a;_gro;max_a;#max_a;_gro;rng;#rng;_gro;dis;#dis;_gro;aim;#aim;_gro;dur;#dur;_gro;#vlcB;vlc1;#vlc1;#_tsca;_gro;vlc2;#vlc2;#_tsca;_gro;vlc3;#vlc3;#_tsca;_gro;vlc4;#vlc4;#_tsca;_gro;vlc5;#vlc5;#_tsca;_gro;kbk;#kbk;_gro;pnc;#pnc;_gro;bnc;#bnc;_gro;cnt;#cnt;_gro;ang;#ang;_gro;chg;#chg;_gro;col;#col;_gro;rct;#rct;_gro;int;#int;_gro;aipr;#aipr;_gro;st1;#st1;_gro;st2;#st2;_gro;st3;#st3;_gro;tap;#tap;#_gro;Stat Scaling;;;;;;;;;;;;;;;#;ability_type;a1p1;a1p1v1;a1p2;a1p2v1;a1p3;a1p3v1;a1p4;a1p4v1;a1p5;a1p5v1;a1p6;a1p6v1;a1p7;a1p7v1;a1_status;a1_status_val;eol;warning;flash;#base_subtype
;ArcherLightningE_Missile;;enemy;missile;1;1;11missile;missile11;;5.6;10.8;9.5;19.8;13.4;27.2;34.6;67.2;58.5;108;8.9;4.6;10.5;5.1;14.9;7.4;10.1;5.2;8.5;4.6;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;5.994;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;3.0602;2.55;0;0.2;2.94;2.46;0;0.197;2.83;2.38;0;0.1915;2.73;2.3;0;0.1865;2.64;2.23;0;0.182;;;;0.022;0.022;0;0.2;0.12;0.7;0;;0;7.56;11.34;0.5;15.4;23.1;0.5;;;;0;;0;;;;;7.92;9.6;0;0.21;8.4;10.1;0;0.2;8.9;10.6;0;0.19;9.3;11;0;0.18;9.8;11.6;0;0.18;;;0;;;;;;;1;1;0;12;12;0;;;;;;;;;;;;;;;;;;;;;;;;;0.7;0.7;0;1;1;1;1;0.66;1;1;1;x;0.57;1;1;1;1;x;0.31;missile;prefab;Entities/Monsters/_Shared/_S_MonMissileAimInvul_Fab;variant;Lightning;invul;TRUE;;;;;impact_cd;0.3;;;;;0;;TRUE;
;ArcherMultifrostE_Missile;;enemy;missile;1;1;11missile;missile11;;5.6;10.8;9.5;19.8;13.4;27.2;34.6;67.2;58.5;108;8.9;4.6;10.5;5.1;14.9;7.4;10.1;5.2;8.5;4.6;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;5.994;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;3.0602;2.55;0;0.2;2.94;2.46;0;0.197;2.83;2.38;0;0.1915;2.73;2.3;0;0.1865;2.64;2.23;0;0.182;;;;0.022;0.022;0;0.2;0.12;0.7;0;;0;6.3;9.45;0.5;8.5;12.8;0.5;;;;0;;0;;;;;5.2;6.9;0;0.32;5.5;7;0;0.28;5.8;7.4;0;0.27;6.1;7.7;0;0.26;6.4;8;0;0.25;;;0;;;;;;;1;1;0;12;12;0;;;;;;;;;;;;;;;;;;;;;;;;;0.7;0.7;0;1;1;1;1;0.66;1;1;1;x;0.81;1;1;1;1;x;0.31;missile;prefab;Entities/Monsters/_Shared/_S_MonMissileAimInvul_Fab;variant;Frost;invul;TRUE;;;;;impact_cd;0.3;;;;;0;;TRUE;
;ArcherPoisonE_Missile;;enemy;missile;1;1;11missile;missile11;;4.7;9;7.7;16.2;11.1;22.4;28.8;56;48.8;90;10.6;5.6;13;6.2;18;8.9;12.2;6.3;10.2;5.6;5;10;0;1;9;18;0;1;14;28;0;1;40;80;0;1;75;150;0;1;;5;10;0;1;9;18;0;1;14;28;0;1;40;80;0;1;75;150;0;1;;3.0602;2.55;0;0.2;2.94;2.46;0;0.197;2.83;2.38;0;0.1915;2.73;2.3;0;0.1865;2.64;2.23;0;0.182;;;;0.022;0.022;0;0.2;0.12;0.7;0;;0;7.56;11.34;0.5;12.6;18.9;0.5;;;;0;;0;;;;;4.56;6;0;0.32;4.8;6.3;0;0.31;5.1;6.6;0;0.3;5.4;7;0;0.29;5.7;7.2;0;0.27;;;0;;;;;;;1;1;0;12;12;0;;;;;;;;;;;;;;;;;;;;;;;;;0.7;0.7;0;1;1;1;1;0.66;1;1;1;x;0.9;1;1;1;1;x;0.31;missile;prefab;Entities/Monsters/_Shared/_S_MonMissileAimInvul_Fab;variant;Poison;invul;TRUE;;;;;impact_cd;0.3;;;status;ppoisoned_6s;0;;TRUE;
;ArcherRapidFireE_Missile;;enemy;missile;1;1;11missile;missile11;;3.7;7.2;6.2;12.6;8.7;17.6;23;44.8;39;72;13.5;6.9;16.1;7.9;23;11.4;15.2;7.8;12.8;6.9;4;8;0;1;7.2;14;0;1;11;22;0;1;32;64;0;1;60;120;0;1;;4;8;0;1;7.2;14;0;1;11;22;0;1;32;64;0;1;60;120;0;1;;3.0602;2.55;0;0.2;2.94;2.46;0;0.197;2.83;2.38;0;0.1915;2.73;2.3;0;0.1865;2.64;2.23;0;0.182;;;;0.022;0.022;0;0.2;0.12;0.7;0;;0;6;9;0.5;11.2;16.8;0.5;;;;0;;0;;;;;4.8;6.3;0;0.31;5.1;6.6;0;0.3;5.4;7;0;0.29;5.7;7.2;0;0.27;6;7.6;0;0.26;;;0;;;;;;;1;1;0;12;12;0;;;;;;;;;;;;;;;;;;;;;;;;;0.7;0.7;0;1;1;1;1;0.66;1;1;1;x;0.86;1;1;1;1;x;0.31;missile;prefab;Entities/Monsters/_Shared/_S_MonMissileAimInvul_Fab;variant;Arrow;invul;TRUE;;;;;impact_cd;0.3;;;;;0;;TRUE;
;ArcherShadowE_Missile;;enemy;missile;1;1;11missile;missile11;;5.6;10.8;9.5;19.8;13.4;27.2;34.6;67.2;58.5;108;8.9;4.6;10.5;5.1;14.9;7.4;10.1;5.2;8.5;4.6;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;5.994;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;3.0602;2.55;0;0.2;2.94;2.46;0;0.197;2.83;2.38;0;0.1915;2.73;2.3;0;0.1865;2.64;2.23;0;0.182;;;;0.018;0.018;0;0.2;0.12;0.7;0;;0;7.2;10.8;0.5;16.8;25.2;0.5;;;;0;;0;;;;;4.8;6.3;0;0.31;5.1;6.6;0;0.3;5.4;7;0;0.29;5.7;7.2;0;0.27;6;7.6;0;0.26;;;0;;;;;;;1;1;0;12;12;0;;;;;;;;;;;;;;;;;;;;;;;;;0.7;0.7;0;1;1;1;1;0.66;1;1;1;x;0.86;1;1;1;1;x;0.31;missile;prefab;Entities/Monsters/_Shared/_S_MonMissileAimInvul_Fab;variant;Shadow;invul;TRUE;;;;;impact_cd;0.3;;;status;pweakened_8s;0;;TRUE;
;ArcherVelocityE_Missile;;enemy;missile;1;1;11missile;missile11;;5.6;10.8;9.5;19.8;13.4;27.2;34.6;67.2;58.5;108;8.9;4.6;10.5;5.1;14.9;7.4;10.1;5.2;8.5;4.6;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;5.994;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;3.0602;2.55;0;0.2;2.94;2.46;0;0.197;2.83;2.38;0;0.1915;2.73;2.3;0;0.1865;2.64;2.23;0;0.182;;;;0.022;0.022;0;0.2;0.12;0.7;0;;0;5.04;7.56;0.5;19.6;29.4;0.5;;;;0;;0;;;;;5.76;7.3;0;0.27;6.1;7.7;0;0.26;6.5;8.1;0;0.25;6.8;8.4;0;0.24;7.1;8.7;0;0.23;;;0;;;;;;;1;1;0;12;12;0;;;;;;;;;;;;;;;;;;;;;;;;;0.7;0.7;0;1;1;1;1;0.66;1;1;1;x;0.74;1;1;1;1;x;0.31;missile;prefab;Entities/Monsters/_Shared/_S_MonMissileAimInvul_Fab;variant;Lightning;invul;TRUE;;;;;impact_cd;0.3;;;;;0;;TRUE;
;ArcherFirePathE_Missile;;enemy;missile;1;2;12missile;missile12;;5.6;10.8;9.5;19.8;13.4;27.2;34.6;67.2;58.5;108;8.9;4.6;10.5;5.1;14.9;7.4;10.1;5.2;8.5;4.6;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;2.504656;2.12;0;0.18;2.4;2.05;0;0.17;2.31;1.98;0;0.1655;2.23;1.92;0;0.1615;2.16;1.87;0;0.158;;;;0.015;0.015;0;0.2;0.2;0;0;;0;3.2;4.8;0.5;7.6;11.4;0.5;;;;0;;0;;;;;5.6;7.2;0;0.28;5.9;7.5;0;0.27;6.3;7.9;0;0.25;6.6;8.2;0;0.24;6.9;8.6;0;0.24;;;0;;;;;;;1;1;0;15;15;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;0.7;0.7;0;1;1;1;1;0.66;1;1;1;x;0.76;1;1;1;1;x;0.31;missile;prefab;Entities/Monsters/_Shared/_S_MonMissileAimInvul_Fab;variant;Fire;invul;TRUE;;;;;impact_cd;0.3;;;status;pburning_8s_2%;0;;TRUE;
;SorcerorFireE_Nova;;enemy;missile;1;1;11missile;missile11;;5.6;10.8;9.5;19.8;13.4;27.2;34.6;67.2;58.5;108;8.9;4.6;10.5;5.1;14.9;7.4;10.1;5.2;8.5;4.6;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;;2.09;1.82;0;0.15;2.01;1.75;0;0.1505;1.94;1.69;0;0.147;1.87;1.64;0;0.1435;1.8;1.58;0;0.14;;;;0.022;0.022;0;0.2;0.12;0.7;0;;0;6;9;0.5;8.5;12.8;0.5;;;;0;;0;;;;;3.8;5.2;0;0.37;4;5.4;0;0.36;4.3;5.8;0;0.34;4.5;6;0;0.33;4.7;6.2;0;0.32;;;0;;;;;;;18;18;0;20;20;0;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;0.66;1;1;1;x;1;1;1;1;1;x;0.41;missile;prefab;Entities/Monsters/_Shared/_S_MonMissileAim_Fab;variant;Arrow;recoil;0.3;sfx_on_windup_over;Monster_Shockwave;;;impact_cd;0.3;;;;;0;;TRUE;
;NecromancerB_Missile;;enemy;missile;2;1;21missile;missile21;420;4.8;9;8.1;17.1;11.9;24;30.2;58.8;50.7;93.6;10.4;5.6;12.3;5.8;16.8;8.3;11.6;6;9.9;5.3;5.2;10;0;1;9.4;19;0;1;15;30;0;1;42;84;0;1;78;156;0;1;7.7;5.2;10;0;1;9.4;19;0;1;15;30;0;1;42;84;0;1;78;156;0;1;2.47;2.7;2.27;0;0.19;2.6;2.2;0;0.18;2.5;2.13;0;0.175;2.41;2.06;0;0.1705;2.33;2;0;0.1665;;;;0.022;0.022;0;3.3;3.3;0;0;;0;5;5;0;14;14;0;;;;0;;0;;;;2.3;2.8;4.1;0;0.45;3;4.3;0;0.43;3.1;4.4;0;0.43;3.3;4.7;0;0.41;3.5;4.9;0;0.39;;;0;;;;;;;7;7;0;15;15;0;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;1;1;1;1;1;x;0.41;missile;prefab;Entities/Monsters/_Shared/_S_MonMissileAimInvul_Fab;variant;Fire;invul;TRUE;;;;;impact_cd;0.3;;;;;0;;FALSE;
;BlackArcherB_Missile1;;enemy;missile;2;1;21missile;missile21;420;3.7;7.2;6.2;12.6;8.7;17.6;23;44.8;39;72;13.5;6.9;16.1;7.9;23;11.4;15.2;7.8;12.8;6.9;4;8;0;1;7.2;14;0;1;11;22;0;1;32;64;0;1;60;120;0;1;5.9;4;8;0;1;7.2;14;0;1;11;22;0;1;32;64;0;1;60;120;0;1;1.41;1.5;1.33;0;0.13;1.44;1.28;0;0.122;1.39;1.24;0;0.1195;1.34;1.2;0;0.117;1.29;1.16;0;0.1145;;;;0.01;0.01;0;0;;0;3;3;0;9;9;0;12;12;0;;;;0;;0;;;;6.1;6.1;6.1;0;0;6.5;6.5;0;0;6.8;6.8;0;0;7.2;7.2;0;0;7.6;7.6;0;0;;;0;;;;;;;1;1;0;15;15;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;0.71;1;1;1;1;x;0.31;missile;prefab;Entities/Monsters/_Shared/_S_MonMissileAim_Fab;variant;Arrow;;;;;;;impact_cd;0.3;;;;;0;;FALSE;
;BlackArcherB_Missile2;;enemy;missile;2;1;21missile;missile21;420;9.3;18;15.5;32.4;22.1;44.8;57.6;112;97.5;180;5.4;2.8;6.5;3.1;9;4.5;6.1;3.1;5.1;2.8;10;20;0;1;18;36;0;1;28;56;0;1;80;160;0;1;150;300;0;1;14.8;10;20;0;1;18;36;0;1;28;56;0;1;80;160;0;1;150;300;0;1;3.32;3.7;2.98;0;0.24;3.56;2.9;0;0.228;3.43;2.81;0;0.2215;3.3;2.72;0;0.215;3.19;2.64;0;0.2095;;;;0.04;0.04;0;12;12;0;3;3;0;20;20;0;24;24;0;;;;0;;0;;;;6.1;6.1;6.1;0;0;6.5;6.5;0;0;6.8;6.8;0;0;7.2;7.2;0;0;7.6;7.6;0;0;;;0;;;;;;;1;1;0;15;15;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;0.71;1;1;1;1;x;0.31;missile;prefab;Entities/Monsters/_Shared/_S_MonMissileAim_Fab;variant;Arrow;;;;;;;impact_cd;0.3;;;;;0;;FALSE;
;VampireLordB_Missile;;enemy;missile;3;1;31missile;missile31;1200;6.1;11.7;10.3;21.6;14.2;28.8;38.2;74.2;64.4;118.8;8.2;4.3;9.7;4.6;14.1;6.9;9.2;4.7;7.8;4.2;6.6;13;0;1;12;24;0;1;18;36;0;1;53;106;0;1;99;198;0;1;13.2;6.6;13;0;1;12;24;0;1;18;36;0;1;53;106;0;1;99;198;0;1;1.74;2;1.74;0;0.15;1.92;1.68;0;0.146;1.85;1.62;0;0.1425;1.79;1.57;0;0.1395;1.72;1.51;0;0.136;;;;0.24;0.24;0;3.2;3.2;0;2.8;2.8;0;5.2;5.2;0;34;34;0;;;;110;110;0;;;;7.2;7.2;7.2;0;0;7.6;7.6;0;0;8.1;8.1;0;0;8.5;8.5;0;0;8.9;8.9;0;0;;;0;;;;;;;1;1;0;90;90;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;0.5;1;x;0.62;1;1;1;1;x;0.44;missile;prefab;Entities/Monsters/VampireLord/MonMissile_BossFireball_Fab;anim_index;1;recoil;0.3;invul;TRUE;;;impact_cd;0.3;;;;;0;;FALSE;
;VampireLordB_Nova;;enemy;missile;3;1;31missile;missile31;1200;5.6;10.8;9.5;19.8;13.4;27.2;34.6;67.2;58.5;108;8.9;4.6;10.5;5.1;14.9;7.4;10.1;5.2;8.5;4.6;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;12;6;12;0;1;11;22;0;1;17;34;0;1;48;96;0;1;90;180;0;1;2.2;2.6;2.2;0;0.18;2.5;2.13;0;0.175;2.41;2.06;0;0.1705;2.32;1.99;0;0.166;2.24;1.93;0;0.162;;;;0.34;0.34;0;5;5;0;0;;0;6;6;0;24;24;0;;;;0;;0;;;;4.8;4.8;4.8;0;0;5.1;5.1;0;0;5.4;5.4;0;0;5.7;5.7;0;0;6;6;0;0;;;0;;;;;;;18;18;0;20;20;0;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;0.86;1;1;1;1;x;0.44;missile;prefab;Entities/Monsters/VampireLord/MonMissile_BossFireNova_Fab;anim_index;1;recoil;0.3;sfx_on_windup_over;Monster_Baron_Nova;;;impact_cd;0.3;;;;;0;;FALSE;
;Summoner_Summon;;enemy;mon_summon;0;1;01mon_summon;mon_summon01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.58;0;0.14;1.73;1.52;0;0.1365;1.67;1.47;0;0.1335;1.61;1.42;0;0.1305;1.55;1.37;0;0.1275;;;;;;;4.3;3.39;0.27;3.2;3.2;0;6.2;6.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;30;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.62;mon_summon;effect;Entities/Monsters/Summoner/SkeletonSummon_Fab;monster_code;Skeleton;;;;;;;;;;;;;0;;FALSE;
;SummonerArcherNoXp_Summon;;enemy;mon_summon;0;1;01mon_summon;mon_summon01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.58;0;0.14;1.73;1.52;0;0.1365;1.67;1.47;0;0.1335;1.61;1.42;0;0.1305;1.55;1.37;0;0.1275;;;;;;;5.3;4.02;0.32;3.2;3.2;0;6.2;6.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;12;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.62;mon_summon;effect;Entities/Monsters/Summoner/SkeletonSummon_Fab;monster_code;ArcherNoXp;;;;;;;;;;;;;0;;FALSE;
;SummonerArcher_Summon;;enemy;mon_summon;0;1;01mon_summon;mon_summon01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.58;0;0.14;1.73;1.52;0;0.1365;1.67;1.47;0;0.1335;1.61;1.42;0;0.1305;1.55;1.37;0;0.1275;;;;;;;5.3;4.02;0.32;3.2;3.2;0;6.2;6.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;12;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.62;mon_summon;effect;Entities/Monsters/Summoner/SkeletonSummon_Fab;monster_code;Archer;;;;;;;;;;;;;0;;FALSE;
;SummonerArcherHoming_Summon;;enemy;mon_summon;0;1;01mon_summon;mon_summon01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.58;0;0.14;1.73;1.52;0;0.1365;1.67;1.47;0;0.1335;1.61;1.42;0;0.1305;1.55;1.37;0;0.1275;;;;;;;6;4.44;0.35;3.2;3.2;0;6.2;6.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;12;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.62;mon_summon;effect;Entities/Monsters/Summoner/SkeletonSummon_Fab;monster_code;ArcherHoming;;;;;;;;;;;;;0;;FALSE;
;SummonerArcherVelocity_Summon;;enemy;mon_summon;0;1;01mon_summon;mon_summon01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.58;0;0.14;1.73;1.52;0;0.1365;1.67;1.47;0;0.1335;1.61;1.42;0;0.1305;1.55;1.37;0;0.1275;;;;;;;5.3;4.02;0.32;3.2;3.2;0;6.2;6.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;12;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.62;mon_summon;effect;Entities/Monsters/Summoner/SkeletonSummon_Fab;monster_code;ArcherVelocity;;;;;;;;;;;;;0;;FALSE;
;SummonerArcherHomingE_Summon;;enemy;mon_summon;1;1;11mon_summon;mon_summon11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.58;0;0.14;1.73;1.52;0;0.1365;1.67;1.47;0;0.1335;1.61;1.42;0;0.1305;1.55;1.37;0;0.1275;;;;;;;1.1;0.99;0.11;3.2;3.2;0;6.2;6.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;12;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.62;mon_summon;effect;Entities/Monsters/Summoner/SkeletonSummon_Fab;monster_code;ArcherHoming;;;;;;;;;;;;;0;;FALSE;
;SummonerBlinkEArcherVelocity_Summon;;enemy;mon_summon;1;1;11mon_summon;mon_summon11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.58;0;0.14;1.73;1.52;0;0.1365;1.67;1.47;0;0.1335;1.61;1.42;0;0.1305;1.55;1.37;0;0.1275;;;;;;;1.1;0.99;0.11;3.2;3.2;0;6.2;6.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;12;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.62;mon_summon;effect;Entities/Monsters/Summoner/SkeletonSummon_Fab;monster_code;ArcherVelocity;;;;;;;;;;;;;0;;FALSE;
;SummonerChannelerEArcherVelocity_Summon;;enemy;mon_summon;1;1;11mon_summon;mon_summon11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.58;0;0.14;1.73;1.52;0;0.1365;1.67;1.47;0;0.1335;1.61;1.42;0;0.1305;1.55;1.37;0;0.1275;;;;;;;1.1;0.99;0.11;3.2;3.2;0;6.2;6.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;12;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.62;mon_summon;effect;Entities/Monsters/Summoner/SkeletonSummon_Fab;monster_code;ArcherVelocity;;;;;;;;;;;;;0;;FALSE;
;SummonerEArcherVelocity_Summon;;enemy;mon_summon;1;1;11mon_summon;mon_summon11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.58;0;0.14;1.73;1.52;0;0.1365;1.67;1.47;0;0.1335;1.61;1.42;0;0.1305;1.55;1.37;0;0.1275;;;;;;;1.1;0.99;0.11;3.2;3.2;0;6.2;6.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;12;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.62;mon_summon;effect;Entities/Monsters/Summoner/SkeletonSummon_Fab;monster_code;ArcherVelocity;;;;;;;;;;;;;0;;FALSE;
;Phantom_Teleport;;enemy;mon_teleport;0;1;01mon_teleport;mon_teleport01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;1.4;1.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;0.34;mon_teleport;;;;;;;;;;;;;;;;;0;;FALSE;
;Teleport_3.5s;;enemy;mon_teleport;0;1;01mon_teleport;mon_teleport01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.5;3.5;0;;;;;;;5;5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;1;1;1;1;1;x;0.41;mon_teleport;;;;;;;;;;;;;;;;;0;;FALSE;
;NecromancerB_Teleport;;enemy;mon_teleport;2;1;21mon_teleport;mon_teleport21;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;6.5;6.5;0;;;;;;;2;2;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;1;1;1;1;1;x;0.41;mon_teleport;;;;;;;;;;;;;;;;;0;;FALSE;
;BlackArcherB_Teleport;;enemy;mon_teleport;2;1;21mon_teleport;mon_teleport21;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;2;2;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;1;1;1;1;1;x;0.31;mon_teleport;;;;;;;;;;;;;;;;;0;;FALSE;
;MummyB_SummonMass;;enemy;boss_summon;2;2;22boss_summon;boss_summon22;420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;4.96;6;4.44;0;0.35;5.77;4.31;0;0.34;5.56;4.18;0;0.33;5.36;4.06;0;0.32;5.17;3.95;0;0.31;;;;;;;16;16;0;0;;0;6.5;6.5;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;25;0;;;;;;;;;;;;;;;;;;;30;30;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;1;1;x;1;1;1;1;1;x;0.41;boss_summon;effect;Entities/Monsters/_Shared/_S_SummonInFireGreen_Fab;m0_code;Zombie;m0_weight;0.15;m1_code;SkeletonSand;m1_weight;0.85;;;;;;;0;;FALSE;
