n/a;code;t;#isboss;#cnt;#Hor;#Tan;#Ini;#Rng;#DPS;#Nuk;#Con;#Dis;#Sup;#Mob;#Acc;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;#;;#;;#;;#;;#;;#;#;;#;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;#;;#;;#
;ArcherLightningE;1;Elite;1.7;0;0;0;Rng;0;Nuk;0;0;0;0;0;;;;;E1;5%;;;E1;7.1%;;;;;;;;;;;;;;;E1;4.8%;;;E1;7.7%;;;;;;;;;;;;;E1;9.1%;E1;5.6%;E1;5.9%;E1;6.7%;E1;7.7%;E1;9.1%;E1;5%;E1;6.7%;E1;8.3%;;;E1;5.3%;;;;;;;;;;;;;E1;12.5%;E1;12.5%;E1;12.5%;E1;12.5%;E1;8.3%;E1;8.3%;E1;11.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherMultifrostE;1;Elite;0.7;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;E1;5%;;;;;;;;;;;;;;;;;;;E1;4.8%;;;;;;;;;;;;;;;;;E1;9.1%;E1;5.6%;E1;5.9%;E1;6.7%;E1;7.7%;E1;9.1%;E1;5%;E1;6.7%;E1;8.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherPoisonE;1;Elite;1.4;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;E1;5%;E1;5.6%;;;;;;;;;;;;;;;;;E1;4.8%;E1;4.5%;;;;;;;;;;;;;;;E1;9.1%;E1;5.6%;E1;5.9%;E1;6.7%;E1;7.7%;E1;9.1%;E1;5%;E1;6.7%;E1;8.3%;E1;7.7%;E1;5.3%;E1;8.3%;E1;7.7%;E1;7.7%;E1;5%;E1;7.1%;E1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherRapidFireE;1;Elite;2.3;0;0;0;Rng;0;Nuk;Con;0;0;0;0;;;;;E1;5%;E1;5.6%;E1;7.1%;;;;;;;;;;;;;;;E1;4.8%;E1;4.5%;E1;7.7%;;;;;;;;;;;;;E1;9.1%;E1;5.6%;E1;5.9%;E1;6.7%;E1;7.7%;E1;9.1%;E1;5%;E1;6.7%;E1;8.3%;E1;7.7%;E1;5.3%;E1;8.3%;E1;7.7%;E1;7.7%;E1;5%;E1;7.1%;E1;7.7%;E1;12.5%;E1;12.5%;E1;12.5%;E1;12.5%;E1;8.3%;E1;8.3%;E1;11.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherShadowE;1;Elite;1.7;0;0;0;Rng;0;0;Con;0;0;0;0;;;;;E1;5%;;;;;E1;6.3%;;;;;;;;;;;;;E1;4.8%;;;;;E1;7.1%;;;;;;;;;;;E1;9.1%;E1;5.6%;E1;5.9%;E1;6.7%;E1;7.7%;E1;9.1%;E1;5%;E1;6.7%;E1;8.3%;;;;;E1;8.3%;;;;;;;;;;;;;;;;;;;;;;;;;E1;14.3%;E1;14.3%;E1;14.3%;E1;7.7%;E1;10%;E1;12.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherVelocityE;1;Elite;1.7;0;0;0;Rng;0;Nuk;0;0;0;0;0;;;;;E1;5%;;;;;E1;6.3%;;;;;;;;;;;;;E1;4.8%;;;;;E1;7.1%;;;;;;;;;;;E1;9.1%;E1;5.6%;E1;5.9%;E1;6.7%;E1;7.7%;E1;9.1%;E1;5%;E1;6.7%;E1;8.3%;;;;;E1;8.3%;;;;;;;;;;;;;;;;;;;;;;;;;E1;14.3%;E1;14.3%;E1;14.3%;E1;7.7%;E1;10%;E1;12.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BlackKnightE;1;Elite;2.2;0;Tan;Ini;0;DPS;0;0;0;0;0;0;E1;11.1%;E1;7.1%;E1;5%;E1;5.6%;E1;7.1%;E1;6.3%;E1;9.1%;E1;11.1%;E1;6.7%;E1;8.3%;E1;11.1%;E1;10%;E1;4.8%;E1;4.5%;E1;7.7%;E1;7.1%;E1;8.3%;E1;10%;E1;8.3%;E1;7.1%;E1;9.1%;;;E1;5.6%;;;;;;;;;;;;;;;E1;7.7%;E1;5.3%;;;E1;7.7%;E1;7.7%;E1;5%;E1;7.1%;E1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;GhostFireE;1;Elite;2.5;0;0;Ini;0;0;0;Con;0;0;Mob;0;;;E1;7.1%;;;;;;;E1;6.3%;;;;;E1;6.7%;;;;;E1;10%;E1;4.8%;E1;4.5%;E1;7.7%;E1;7.1%;E1;8.3%;E1;10%;E1;8.3%;E1;7.1%;E1;9.1%;;;;;;;E1;6.7%;;;;;E1;5%;;;;;;;;;E1;8.3%;;;;;E1;5%;;;;;;;;;;;;;E1;8.3%;;;;;E1;14.3%;E1;14.3%;E1;14.3%;E1;7.7%;E1;10%;E1;12.5%;;;;;E1;8.3%;;;;;;;E1;11.1%;;;;;E1;11.1%;E1;8.3%;E1;11.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PhantomE;1;Elite;2.5;0;0;Ini;0;0;Nuk;0;0;0;Mob;0;;;E1;7.1%;;;;;E1;7.1%;;;;;;;E1;6.7%;;;;;E1;10%;E1;4.8%;E1;4.5%;E1;7.7%;E1;7.1%;E1;8.3%;E1;10%;E1;8.3%;E1;7.1%;E1;9.1%;;;;;E1;5.9%;;;;;;;E1;5%;;;;;;;E1;5.3%;;;;;;;E1;5%;;;;;E1;12.5%;E1;12.5%;E1;12.5%;E1;12.5%;E1;8.3%;E1;8.3%;E1;11.1%;;;;;;;E1;7.7%;;;;;;;;;E1;8.3%;;;;;;;E1;11.1%;;;;;E1;11.1%;E1;8.3%;E1;11.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PhantomRuptureE;1;Elite;3.4;0;0;Ini;0;0;Nuk;Con;0;0;Mob;0;;;E1;7.1%;;;;;E1;7.1%;E1;6.3%;;;;;E1;6.7%;;;;;E1;10%;E1;4.8%;E1;4.5%;E1;7.7%;E1;7.1%;E1;8.3%;E1;10%;E1;8.3%;E1;7.1%;E1;9.1%;;;;;E1;5.9%;E1;6.7%;;;;;E1;5%;;;;;;;E1;5.3%;E1;8.3%;;;;;E1;5%;;;;;E1;12.5%;E1;12.5%;E1;12.5%;E1;12.5%;E1;8.3%;E1;8.3%;E1;11.1%;E1;14.3%;E1;14.3%;E1;14.3%;E1;7.7%;E1;10%;E1;12.5%;;;;;E1;8.3%;;;;;;;E1;11.1%;;;;;E1;11.1%;E1;8.3%;E1;11.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PhantomShadowE;1;Elite;2.5;0;0;Ini;0;0;Nuk;0;0;0;Mob;0;;;E1;7.1%;;;;;E1;7.1%;;;;;;;E1;6.7%;;;;;E1;10%;E1;4.8%;E1;4.5%;E1;7.7%;E1;7.1%;E1;8.3%;E1;10%;E1;8.3%;E1;7.1%;E1;9.1%;;;;;E1;5.9%;;;;;;;E1;5%;;;;;;;E1;5.3%;;;;;;;E1;5%;;;;;E1;12.5%;E1;12.5%;E1;12.5%;E1;12.5%;E1;8.3%;E1;8.3%;E1;11.1%;;;;;;;E1;7.7%;;;;;;;;;E1;8.3%;;;;;;;E1;11.1%;;;;;E1;11.1%;E1;8.3%;E1;11.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ShielderE;1;Elite;1.7;0;Tan;Ini;0;0;0;0;0;0;0;0;E1;11.1%;E1;7.1%;E1;5%;E1;5.6%;E1;7.1%;E1;6.3%;E1;9.1%;E1;11.1%;E1;6.7%;E1;8.3%;E1;11.1%;E1;10%;E1;4.8%;E1;4.5%;E1;7.7%;E1;7.1%;E1;8.3%;E1;10%;E1;8.3%;E1;7.1%;E1;9.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ShielderFireE;1;Elite;1.5;0;Tan;0;0;DPS;0;0;0;0;0;0;E1;11.1%;E1;7.1%;E1;5%;E1;5.6%;E1;7.1%;E1;6.3%;E1;9.1%;E1;11.1%;E1;6.7%;E1;8.3%;E1;11.1%;;;;;E1;4.5%;;;;;;;;;;;;;;;;;E1;5.6%;;;;;;;;;;;;;;;E1;7.7%;E1;5.3%;;;E1;7.7%;E1;7.7%;E1;5%;E1;7.1%;E1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ShielderFrostE;1;Elite;3;0;Tan;Ini;0;0;0;0;Dis;0;0;0;E1;11.1%;E1;7.1%;E1;5%;E1;5.6%;E1;7.1%;E1;6.3%;E1;9.1%;E1;11.1%;E1;6.7%;E1;8.3%;E1;11.1%;E1;10%;E1;4.8%;E1;4.5%;E1;7.7%;E1;7.1%;E1;8.3%;E1;10%;E1;8.3%;E1;7.1%;E1;9.1%;;;;;;;;;E1;7.7%;;;;;;;;;;;;;;;E1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1;33.3%;E1;33.3%;E1;8.3%;E1;16.7%;E1;25%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ShielderGoldE;1;Elite;3.2;0;Tan;Ini;0;0;Nuk;0;0;0;Mob;0;E1;11.1%;E1;7.1%;E1;5%;E1;5.6%;E1;7.1%;E1;6.3%;E1;9.1%;E1;11.1%;E1;6.7%;E1;8.3%;E1;11.1%;E1;10%;E1;4.8%;E1;4.5%;E1;7.7%;E1;7.1%;E1;8.3%;E1;10%;E1;8.3%;E1;7.1%;E1;9.1%;;;;;E1;5.9%;;;;;;;E1;5%;;;;;;;E1;5.3%;;;;;;;E1;5%;;;;;E1;12.5%;E1;12.5%;E1;12.5%;E1;12.5%;E1;8.3%;E1;8.3%;E1;11.1%;;;;;;;E1;7.7%;;;;;;;;;E1;8.3%;;;;;;;E1;11.1%;;;;;E1;11.1%;E1;8.3%;E1;11.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ShielderOnyxE;1;Elite;2.2;0;Tan;0;0;0;0;0;0;0;0;Acc;E1;11.1%;E1;7.1%;E1;5%;E1;5.6%;E1;7.1%;E1;6.3%;E1;9.1%;E1;11.1%;E1;6.7%;E1;8.3%;E1;11.1%;;;;;;;;;;;;;;;;;E1;7.1%;;;;;;;;;;;;;;;;;E1;6.7%;;;;;;;;;;;;;;;E1;7.1%;;;;;;;;;;;;;E1;8.3%;;;;;;;;;;;E1;10%;;;;;;;;;E1;16.7%;;;;;;;E1;25%;;;;;E1;8.3%;;;E1;25%;E1;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonRevenantE;1;Elite;5;0;Tan;0;0;DPS;0;0;0;0;Mob;0;E1;11.1%;E1;7.1%;E1;5%;E1;5.6%;E1;7.1%;E1;6.3%;E1;9.1%;E1;11.1%;E1;6.7%;E1;8.3%;E1;11.1%;;;;;E1;4.5%;;;;;;;;;E1;8.3%;;;E1;9.1%;;;E1;5.6%;;;;;;;;;E1;5%;;;E1;8.3%;E1;7.7%;E1;5.3%;;;;;E1;7.7%;E1;5%;E1;7.1%;E1;7.7%;;;;;;;;;E1;8.3%;;;E1;11.1%;;;;;;;E1;7.7%;;;E1;12.5%;;;;;E1;8.3%;;;E1;25%;;;E1;11.1%;;;E1;100%;E1;11.1%;E1;8.3%;E1;11.1%;;;E1;20%;E1;100%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SummonerE;1;Elite;2;0;0;0;Rng;DPS;0;0;0;0;0;Acc;;;;;;;E1;5.6%;;;;;;;;;;;E1;8.3%;;;;;;;E1;4.5%;;;;;;;;;;;E1;7.1%;;;;;E1;5.6%;;;;;;;;;;;E1;6.7%;;;E1;7.7%;E1;5.3%;;;E1;7.7%;E1;7.7%;E1;5%;E1;7.1%;E1;7.7%;;;;;;;;;;;E1;8.3%;;;;;;;;;;;E1;10%;;;;;;;;;E1;16.7%;;;;;;;E1;25%;;;;;E1;8.3%;;;E1;25%;E1;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;NecromancerB;1;Midboss;1;0;Tan;0;Rng;0;0;0;0;0;0;Acc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1;100%;;;;;;;;;;;;;;;;;;;;;
;Gargoyle1B;1;Midboss;1;0;Tan;0;0;DPS;Nuk;0;0;0;Mob;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1;100%;;;;;;;;;;;;;;;;;;;
;Gargoyle2B;1;Midboss;1;0;Tan;0;0;DPS;Nuk;0;0;0;Mob;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E2;100%;;;;;;;;;;;;;;;;;;;
;VampireLordB;1;Boss;1;0;Tan;0;Rng;DPS;Nuk;0;0;0;Mob;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E1;100%;;;;;;;;;;;;;;;;;
;ArcherSand;2;Minion;13.3;0;0;0;Rng;DPS;0;0;0;0;0;0;3;25%;3;33.3%;2;4%;3;25%;3;33.3%;3;25%;3;25%;3;25%;3;50%;3;25%;3;100%;3;50%;2;4%;2;12.5%;3;50%;3;50%;3;50%;3;50%;3;50%;3;50%;3;100%;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;16.7%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;3;16.7%;3;16.7%;3;20%;3;12.5%;3;14.3%;2;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandFire;2;Minion;1.2;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;2;4%;;;;;;;;;;;;;;;;;;;2;4%;2;12.5%;;;;;;;;;;;;;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandFrost;2;Minion;3.3;0;0;0;Rng;0;0;0;Dis;0;0;0;;;;;2;4%;;;;;;;2;25%;;;;;;;;;;;2;4%;;;;;;;2;25%;;;;;;;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;;;;;;;2;25%;;;;;;;;;;;;;2;25%;;;;;;;;;;;2;50%;;;;;;;;;1;25%;1;25%;1;25%;1;33.3%;1;25%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandHoming;2;Minion;1.2;0;0;0;Rng;DPS;0;Con;0;0;0;0;;;;;2;4%;;;;;2;8.3%;;;;;;;;;;;;;2;4%;;;;;2;10%;;;;;;;;;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;;;;;2;8.3%;;;;;;;;;;;;;2;7.7%;;;;;;;;;;;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandLightning;2;Minion;1.4;0;0;0;Rng;0;Nuk;0;0;0;Mob;0;;;;;2;4%;;;2;10%;;;;;;;;;;;;;;;2;4%;;;2;12.5%;;;;;;;;;;;;;1;4%;1;4%;2;8.3%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;;;2;8.3%;;;;;;;;;;;;;1;8.3%;1;10%;1;8.3%;1;8.3%;1;8.3%;1;9.1%;1;8.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandPoison;2;Minion;1.2;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;2;4%;;;;;;;;;;;;;;;;;;;2;4%;2;12.5%;;;;;;;;;;;;;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandRapidFire;2;Minion;2.1;0;0;0;Rng;0;Nuk;Con;0;0;0;0;;;;;2;4%;;;2;10%;2;8.3%;;;;;;;;;;;;;2;4%;;;2;12.5%;2;10%;;;;;;;;;;;1;4%;1;4%;2;8.3%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;;;2;8.3%;2;8.3%;;;;;;;;;;;1;8.3%;1;10%;1;8.3%;1;8.3%;1;8.3%;1;9.1%;1;8.3%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandShadow;2;Minion;1.2;0;0;0;Rng;0;0;Con;0;0;0;0;;;;;2;4%;;;;;2;8.3%;;;;;;;;;;;;;2;4%;;;;;2;10%;;;;;;;;;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;;;;;2;8.3%;;;;;;;;;;;;;2;7.7%;;;;;;;;;;;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandVelocity;2;Minion;1.4;0;0;0;Rng;0;Nuk;0;0;0;0;0;;;;;2;4%;;;2;10%;;;;;;;;;;;;;;;2;4%;;;2;12.5%;;;;;;;;;;;;;1;4%;1;4%;2;8.3%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;;;2;8.3%;;;;;;;;;;;;;1;8.3%;1;10%;1;8.3%;1;8.3%;1;8.3%;1;9.1%;1;8.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bomber;2;Minion;1.9;0;0;0;Rng;0;Nuk;0;0;0;Mob;0;;;;;2;4%;;;2;10%;;;;;;;2;9.1%;;;;;;;2;4%;;;2;12.5%;;;;;;;;;;;;;1;4%;1;4%;2;8.3%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;;;2;8.3%;;;;;;;2;9.1%;;;;;1;8.3%;1;10%;1;8.3%;1;8.3%;1;8.3%;1;9.1%;1;8.3%;;;;;;;;;;;;;;;;;2;9.1%;;;;;;;;;;;;;2;7.7%;2;7.7%;1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BomberPoison;2;Minion;2.1;0;0;0;Rng;0;0;Con;0;0;Mob;0;;;;;2;4%;;;;;2;8.3%;;;;;2;9.1%;;;;;;;2;4%;;;;;2;10%;;;;;;;;;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;;;;;2;8.3%;;;;;2;9.1%;;;;;;;2;7.7%;;;;;2;33.3%;;;;;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;2;9.1%;;;;;;;;;;;;;2;7.7%;2;7.7%;1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cat;2;Minion;1.9;0;0;0;Rng;DPS;0;Con;0;0;0;0;;;;;2;4%;;;;;2;8.3%;;;;;;;;;;;;;2;4%;2;12.5%;;;2;10%;;;;;;;;;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;;;2;7.7%;;;;;;;;;;;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CatFrost;2;Minion;3.6;0;0;0;Rng;0;0;Con;Dis;0;0;0;;;;;2;4%;;;;;2;8.3%;2;25%;;;;;;;;;;;2;4%;;;;;2;10%;2;25%;;;;;;;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;;;;;2;8.3%;2;25%;;;;;;;;;;;2;7.7%;2;25%;;;;;;;;;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;25%;1;25%;1;25%;1;33.3%;1;25%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CatLightning;2;Minion;1.4;0;0;0;Rng;0;Nuk;0;0;0;0;0;;;;;2;4%;;;2;10%;;;;;;;;;;;;;;;2;4%;;;2;12.5%;;;;;;;;;;;;;1;4%;1;4%;2;8.3%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;;;2;8.3%;;;;;;;;;;;;;1;8.3%;1;10%;1;8.3%;1;8.3%;1;8.3%;1;9.1%;1;8.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Curser;2;Minion;3.6;0;0;0;Rng;0;0;Con;Dis;0;0;0;;;;;2;4%;;;;;2;8.3%;2;25%;;;;;;;;;;;2;4%;;;;;2;10%;2;25%;;;;;;;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;;;;;2;8.3%;2;25%;;;;;;;;;;;2;7.7%;2;25%;;;;;;;;;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;25%;1;25%;1;25%;1;33.3%;1;25%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Efreet;2;Minion;8.8;0;0;Ini;0;DPS;0;0;0;0;Mob;0;3;25%;2;9.1%;3;33.3%;3;25%;3;33.3%;3;25%;3;25%;3;25%;2;9.1%;3;25%;;;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;3;14.3%;2;10%;3;16.7%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;16.7%;1;7.1%;3;33.3%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;16.7%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;2;9.1%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;2;7.7%;2;7.7%;1;7.7%;3;12.5%;3;14.3%;2;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;EfreetShadow;2;Minion;2.5;0;0;Ini;0;0;0;Con;0;0;Mob;0;;;2;9.1%;;;;;;;2;8.3%;;;;;2;9.1%;;;;;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;;;;;;;2;20%;;;;;2;25%;;;;;;;;;2;8.3%;;;;;2;9.1%;;;;;;;2;7.7%;;;;;;;;;;;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;2;9.1%;;;;;;;;;;;;;2;7.7%;2;7.7%;1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Insect;2;Minion;2.4;0;0;0;Rng;0;Nuk;0;0;0;Mob;0;;;;;2;4%;;;2;10%;;;;;;;2;9.1%;;;;;;;2;4%;;;2;12.5%;;;;;;;2;50%;;;;;1;4%;1;4%;2;8.3%;1;4%;1;4%;1;4%;1;4%;1;5%;1;4%;;;2;8.3%;;;;;;;2;9.1%;;;;;1;8.3%;1;10%;1;8.3%;1;8.3%;1;8.3%;1;9.1%;1;8.3%;;;;;;;;;;;;;;;;;2;9.1%;;;;;;;;;;;;;2;7.7%;2;7.7%;1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
